index,Review
1,Ga ush mucul ini kolam pasa nonton filem ajg kau ya gagu aja
2,Saya sangat suka pop mie pedas dower Pedasnya mantap..
3,"apakah benar di pop mie ada kejutan hadiah 1 unit mobil Inova ???kalau gak ada, tolong untuk pihak pop mie dan Indofood beri ketegasan kepada pihak yang telah mengatas nama kan pop mie dan Indofood dan Polda metro jaya"
4,"pop mie pedes dower n gledek langsung saya coba rasanya kyk indomie hype abis sm mie samyang, saya coba langsung tobat deh sakitnya. HARAP DIINGAT KEDUA VARIAN PEDAS GILA INI TIDAK COCOK UNTUK PENDERITA MAAG, DIARE, DAN PENCERNAAN TIDAK BERES. Dan TIDAK BOLEH DIMAKAN DALAM KEADAAN PERUT KOSONG OKE??"
5,Mantap Luar Biasa... full lovee
6,"Penggemar popmie, suka sama tekstur mie-nya. "
7,pop mie matap pakciiìik
8,pop mie memang cocok untuk dijual lagi di tempat tempat wisata karena mudah dalam penyajian
9,pop mie memang cocok untuk dijual lagi di tempat tempat wisata karena mudah dalam penyajian
10,Kurang dower bangettt .Jadinya gak pedes . bisa bikin yg pedes dower banget gk
11,"pop mie itu mudah dibawa, praktis dan kapan saja bisa dimakan dan tidak mudah bosan"
12,Pop mie itu enak ya jadi kalian harus makan
13,"Mienya mantap, kuahnya seger. Tapi lebih baik lagi kalo harga nya di murahin ya "
14,Pop Mie idolaku. Tapi kapan Pop Mie ada variant Premium nya kayak mi instan merk jepang sono.
15,Mantap pop mie dower bikin bibir dower
16,kalau jalan2 bareng keluarga enak banget bawa pop mie praktis tinggal seduh pake air panas jadi deh
17,Saya suka banget makan popmie ditaburin boncabe uuhhh rasanya mantap banget endesss pokonya��
18,Huahhh Makan POP MIE rasa baso tambah saos pedas ABC rasa nya super MANTAP..saya ga bisa bosen sama pop mie..
19,My favorite  becoz of INDOMIE KARI AYAM dan harganya friendly
20,"Praktis bisa dibawa kemana - mana, rasanya mantap"
21,emng enak intinya pedes ny g boongan�
22," mantep banget rasanya, pas buat nemenin lembur"
23,"Pop Mie memang tak ada duanya, rasanya yang lezat dan punya banyak varian plus mienya yang kenyal dan tak mudah mekar, bikin asyik dan nggak pernah bosan nikmatinya. Setiap hari selalu berganti varian rasa. Aromanya juga enak jadi nggak bikin eneg dan selalu habis sampai kuahnya. Pop Mie juga praktis banget dan selalu bisa diandalkan dalam setiap kondisi dan situasi. Pokoknya excellent deh untuk Pop Mie. Perbanyak event ya, biar superfans makin banyak dan makin cinta sama Pop Mie."
24,Pop mie makanan favoritku apa lgi dimakan lgi hujan mantep nikmatnya tak terlupakan
25,"Pop my favorit aq bingit,variian rasanya banyak so gk bkn cpt bosan.udah rasanya enak,harganya terjangkau dan tetap menjaga kualitasnya dari dulu sampe sekarang.good job pop mie!!!!!!!"
26,"Dengan berbagai varian rasa, Pop Mie selalu menemani santapan makan saya yang memberikan kelezatan tiada tara. Terima kasih Pop Mie yang telah menghadirkan kepraktisan dan kepuasan kepada para penikmatnya untuk makan nambah lagi, nambah lagi, sampai kenyang* "
27,Belum nyobain karna belum ada di toko daerah sini mah
28,"Pop Mie, mi seduh praktis bergizi cukup dengan rasa yang memadai."
29,napa pop mie kseringan gw gak ad minyak na cuman bumbu duank
30,"Pop mie ... Rasanya Gurih   ,Kuah atau pun goreng semua Enak bgt , praktis dibawa kemanapun & kapan pun "
31,Popmie itu mie paling instan sedunianya anak muda.
32,"Pop mie doweerr mantaap, pedesnyaa aslii bikin nagiihhh"
33,Praktis dan berkualitas
34,Pop Mie... Makanan cup paling oke
35,"pop mie memang makanan favorit ku,dari rasanya yang nikmat juga memberikan sensasi aroma kuah yang luar biasa.pokoknya pop mie memang tiada dua nya bagiku.."
36,"Minta suport donk dari pop mie buat kolam renang dikarawang. Dari opening kolam, dikantin kami pop mie paling banyak diminati pengunjung."
37,Mie instan dalam cup yang sangat lezat dan praktis
38,Pengen cari distributor pop mie wilayah bekasi
39,"Sebagai seorang wanita pekerja saya juga tidak melupakan tugas sebagai seorang ibu dua anak yang masih kecil. Setiap pagi saya kerepotan nyiapin persiapan sekolah anak dan suami. Untuk menghemat waktu saya selalu nyiapin PoPMieMini dan pas banget porsi nya buat anak. Kenapa saya pilih PoPMieMini karena Mudah, Praktis, Cepat, Pas Porsinya dan Hemat. #Lapermini"
40,POP MIE ADALAH CARA KEKINIAN UNTUK TUNDA LAPAR
41,Pop Mie makanan instan yang sangat membantuku saat Laper melanda...
42,Biasa aja gk ada hebat hebat nya
43,"Anakku paling suka indomie...indomie enak .,"
44,Praktis.  Tinggal seduh air panas.
45,"Ini makanan top banget....udah praktis,enak,mudah dibuat..... Eemmm rraassaanya uuuueeennnaakk pppuuooll"
46,Pengen Rasa Pop Mie Baru
47,Apakah popmie masih mengadakan kupon hadiah nissan juke di dalam kemasan?
48,pop mie paling asyik dibawa kemana saja. praktis dan lezaaatttt.....
49,pop paling topppppppppppppp
50,sangat praktis cepat tepat dan mudah gak pakai lama langsung kenyang
51,Saya setiap hari kesekolah tetapi sebelum berangkat saya makan pop mie mini dulu supaya saya ga kelaparan saat belajar nah pengalaman saya pada saat kesiangan saya ga susah lagi pikir tentang sarapan apalagi pop mie mini gampang di buatnya ga perlu waktu lama cukup 3 menit dah siap tinggal makan dan kenyang deh.. #LaperMini
52,Pop mie ooooohhhh...makin di makan makin sedap...pop mie memag mantap ccooooowe
53,Aku suka karena simpel ngak ribet
54,Pop Mie bener2 enak.
55,Pop mie itu membuat orang ktagihan akan rasa nya yang nikmat dan gurih.
56,"Tetep aja , tiap hari makan pop mie ... Walaupun ada sayurUdah candu dengan pop mieMantep dah pop miee hahaha Klo bisa dibuat pop mie rasa sup ayam dahh"
57,Pop mie Rasanya mantap...apalagi yang rasa bakso...
58,"Ternyata benar PopMie itu Juara'nya Mie Instant Cup. Harga boleh Kaki 5, Tapi masalah RASA PopMie tetap Bintang 5 "
59,POP MIE CARA PRAKTIS MENUNDA LAPAR DAN DISUKAI SEMUA KALANGAN
60,Lagi ada tugas hapalan tapi tiba-tiba perut berdentang. Otomatis gak bakal masuk apa yang gue apalin kalo lagi laper. Mau makan biskuit gak kenyang makan nasi kekenyangan. 
61,Pop mie makanan yg paling saya sukai
62,"Se enak2nya lagu pop,tetap lebih enak Pop mie Mantab hehe"
63,"Pop mie, sangat praktis.... bener2 mie instan...!!"
64,Pop mie benar2 mantap..
65,Menambah semangat pelanggan untuk membeli dengan promo dan hadiahnya......
66,Kadang dimanfaatkan orang tk bertanggung jawab
67,saya kasih 5 bintang karna pop mie emang enak praktisdan paporit ke 2 anak saya.blanja ke supermaket ga pernah ga beli pop mie pasti beli.jalan-jalan piknik/bekel makanan nya  pasti ada pop mie di kantong.pop mie emang enak membantu sarapan pagi di rumah
68,"POP Mie,mienya lembut banget"
69,Kluarga kami sangat suka dan gemar makan pop Mie. Tp bisakah pop Mie hadir dalam slala besar untuk beri sponsor biar nanti kita yang pasarkan produknya.
70,"Pop mie enak untuk semua umur,tpi lebih enak tambahin nasi"
71,Pop Mie adalah Makanan sangat Membantu ketika Laperr  melanda perutku. Cepat sajinya dan Enak banget.. Pop Mie mantap.  Update Rasa lho Ok.
72,"Makanan yg praktis. Tinggal tuangkan Air langsung makan, Makanan Ringan. Tidak berat sama sekali,Harganya Relatif murah. Mudah bulih di Toko toko terdekatt,"
73,"Pop mie saya akui.. Emang enak di makan saat santai dan rasa nya pun beragam,, saya suka sekali dengan pop mie.. Apalagi undian nyaa"
74,Uuuufff rasanya nagih
75,Pop Mie praktis maaannntaaap
76,Teste very well and makes our eat delicious
77,Yang Kari susu gak enak
78,Mantap tap tap
79,Aku suka pop mie rasa nya enak
80,Exspres dan sedap panas-panas ingin nambah terus
81,Makanan anak kosan di saat uang jajan menipis
82,di stiap lgi nongron sma tman tman enaknya mkan pop mie goren rsanya manyusss
83,POP tinggal di seduh praktis cuma Air panas langsung jadi
84,"#sorry #ootBuat yang suka main game nih Gan, Download Game Android Pocs Pocong Gratis Karya Anak Bangsa.Ketik di Play Store : Pocs Pocongatau klik --> bit.+ly/pocspocong ( hilangkan tanda + )Seru, Susah + Ngeselin  Size Cuma 48MB Gan."
85,"Pop mie mantap, wenak tenan....Jempol"
86,"Popmie rasa baru ,.bener2 ngehitz,.Rasa kari susu & kari keju nggk bikin lidah loe kaku,. Cobain "
87,We enak di kala hujan hujan & habis berenang...Nak nyos
88,"Pop mie favorit kmi sekeluarga,mie nya kenyal dan rasa nya mantaaapKalau udah nyobain Pop mie,nggk mau yg lain lg dc..."
89,Pop mie bikin lidah ketagian.....
90,Pop mie gw baru j dpt sms dpt nissan juke dr pop mie get lucky n no yg sms g da tp dr pt indofood gt beneran g sih
91,Lebih kare susu nya nendang bangat. Sampai -sampai gua ngga berhenti makan Pop Mi karaoke #puas #kare #nya
92,Mantab gulung gulung makan pop mie
93,asalamualaikum? pop mie pt indofood saya mau tanya papakah benar pop mie mengadakan kupon brhadiah dalam kemasan pop mie?
94,Makanan yg siap setiap saat  aku butuhkan kala lapar datang tanpa tunggu lama dan uenake poolllllll
95,Min makan xl enak fu
96,"Popmie  tuh enak nya bkin ketagihan apa lagi yg rasa baso specia, balbal baso nya mantap abis deh"
97,Saya dpt kupon pop mie ne
98,Iklan pop mie selalu mbikin gw ngakak
99,"Pop mie itu simpe, praktis dan lezat "
100,Pop mie gampng sajinya enk pun aroma nya bkin giler stiap bahas pop mie
101,1429164+941238465434444447987
102,cuma pop mie yang rasanya jelas dan bikin ketagihan... 
103,"Setiap pagi anak2ku sarapany mintanya Pop mie ...ga ada yang lain, hanya Pop mie yang mudah untuk mempersingkat waktu di saat kita sedang sibuk,kususnya di saat pagi hari..."
104,Keren
105,"Kalo lagi males masak ya POP MIE aja,tinggal buka bungkusnya masukin air & bumbunya lalu tunggu 3menit langsung jadi(bwt POP MIE rebus nya sob)"
106,"setiap dalam perjalan , aku dan keluargaku selalu sedia pop mie,selain mudah pop mie enak di lidah,,,,,,"
107,"Kalau lapar udah datang, cuman pop mie makanan nya, harga murah tapi buat perut kenyang serasa setelah melahap makanan termahal,, pop mie emang solusi perut lapar,,"
108,Maknyus. .rasanya tiada duanya...Pop mie. ..!
109,pop mie krreeennn makin bnyk pilihan rasanya..
110,Mlm mlm kiye mkn pop mie kya nya rasa nya enk tuu.....rasa nya gurih sedaap mantaap..v pop mie ku mana eaa.....
111,Cocok bgt buat kita klo lagi pergi piknik.. Praktis & ttp lezat dimana ajaaa.. I like Pop Mie
112,"pop mie,mie instan siap saji.yang pas dan cocok buat segala suasana...dan praktis...update terus rasanya..."
113,Rasa baru inovasi baru tetap berjaya popmie
114,Pop mie mantapEnak buat mengatasi lapar.
115,Saya mah tidak pernah makanKarna mahal
116,pop mie makan kecil tp mengenyangkan.itulah yg d rasakan anakku tentang enakny pop mie goreng rasa sosis.nambah mulu saking enaknya.
117,Pop mie bakso mantap
118,"Pop mie,makanan kesukaan keluarga tinggal seduh 3 menit lngsung jadi ga usah2 repot lagi, karna di rumah ku selalu tersedia pop mie berbagai rasa."
119,emang cuma Pop Mie yang 3 menit bikin kenyang 
120,"Kenapa harus ada kupon undian klo cuma untuk nipu,,,"
121,"Popo Mie, makanan yang selalu menemanimu di setiap saat."
122,Cuma popmie yg bisa memberi hadiah mobil tiap minggunya...yang sudah dapat selamat yang belum dapat jangan berkecil hati.karena masih banyak hadiahnya
123,Makanan super simple dan enaaaaaaak
124,Musuh terbesar tengah malam saya adalah kelaparaann saat tidak bisa tidur.... Hal pertama yang saya ingat adalah #popmie yang gak pake tenaga buat bikinnya hahaha....alias gampang banget bikinnya tinggal buka...seduh...tutup...makan....really like it  dan masalah laparpun terselesaikan  #lapermini
125,"pop mie, paling pas buat santai,,,, I love pop mie...."
126,Min gimana nih gua udah makan pop mie puluhan kali. Tapi nggak ada cewek hongkong nya
127,Adalah yang terbaik....
128,Praktis gak ribet tinggal di siram siap makan
129,Pop mie.. praktis dan ga ribet
130,"GAmpang dibawa,simpel & yamiiii.POP MIE TIADA TANDINGNYA... DEEEH"
131,banyak kenanganku dari pop mie
132,Belum menang juga...kasian bgt ya gue..tapi keren banget event2 nya..smoga beruntung.
133,-_-|| biasa aja gak terlalu -_-||
134,Kayak gimana si saya sudah menghubungi nomor tlpn yg tertera pada kupon dari pop mie setelah saya tlpn & menyebut pin yg ada di kupon itu disuruh mnghubungi 10 menit setelah mnghubngi nya lagi malah tlpn saya dibuat mnunggu gimna dengan hadiah yg saya dapat kan yg isinya dapat satu unit nisan march
135,"pop mie mantap nya poooll....,gurih2 nyony...,bikin ketagihan"
136,Momen seru bersama pop mie
137,"Makanan yg cocok di bawa untuk bpergianMasalahnya, susah untuk menyediain air panasIntinya, Enak!^^"
138,"Pop mie enak, Bikin lidah  bergoyang...,)hemzzzz..............Nyamikkkkkkk"
139,"pop mie memang tiada 2 nya,,,,,,"
140,"dari jaman sd smpe skrang, kalo setiap lebaran dan kalo mau renang pasti dicarinya pop mie gk berubah smpe skrang "
141,Enakkkkkkkk banget
142,Sebenernya beneran ga sih kupon hadiah ny
143,Pop mie oce banget deh Bisa dimakan di saat santai D saat lg malas makan nasi seduh aja pop mie pasti ok deh
144,rasa baso ny mantap
145,Pop mie bisa suport dunia pendidikan ya?pasti bisa khan..?
146,pop mie bikin kita semangat bertambah
147,"Pop mie makanan instan di kala laparr tengah mlm  dgn bervarian rasa ajiiiiippppp dah , stok bnyk pop mie dh dri skrg ."
148,Ska bgt ma pop mie rs baso..muantep.pRAkTis...
149,PopMie Pokoe Jost
150,saya dpt kupon dri popmie
151,"Ok banget, rasanya enak"
152,Saya suka saya suka saya suka
153,Dapett 1 buah unit mobill nisan march sama kodenya juga ada benerann ga siii
154,Pop mie jagonya lapar ...kemana mana slalu bawa pop mie biar g kelaparan I like it pop mienoodlesbakso
155,"Pop mie memng pas bgt untuk q dn kluargaku, apalgi wktu di bus q sering mkn pop mie, krn udaranya mlm hri jd dingin,tp untung da pop mie sllu menemni, udh prktis enk lgi."
156,Ganjel isi perut...puas deh...
157,Mudah dibikin n praktis
158,enak.....aku dapet undian nie betul gak ya...
159,"Pop Mie praktis cara bikinya,nggak ngerepotin,tinggal diseduh dengan air panas selama 3menit dah matang.Nggak lupa tiap naik gunung wajib bawa bekal pop mie dan yang penting ""POP MIE"" Get Lucky .......semoga 1 Nissan March jadi milikku.Amiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiin"
160,Pertolongan pertama pada saat kondisi #LaperMini
161,pop mie makan ya ha! iyo
162,Pop mie satu-satunya mi kesukaan saya dan keluarga.
163,Min saya udah beli pop mie berkali kali kok gak pernah ketemu cewek hongkong ya ? Mohon pencerahannya 
164,Ayo buruan beli pop mie dapat kan hadia nya dari pop mie get lucky
165,"Simple,temani malam anda bersama hangat dan lezat nya pop mie,kali aja ketemu cw cakep dari hongkong  ( impian si miskin hahaha )"
166,TAk tergantikan di hati
