index,Review
1,sebaiknya kualitas susunya lebih diperhatikan... beli 1box isi 24 yg rusak sdh ketemu 4 bh... padahal expirednya jan 23...  ada yg rusak gembung ada yg tidak gembung tapi asam susunyasisa dibox masih banyak... jadi khawatir kalau minum langsung...
2,"Susunya nikmat, sehat, dan high quality. Servisnya mantap. Keren pokoknya ."
3,"Maaf Sebelumnya, Mw bertanya setelah saya beli dan minum 2 hari, dihari ke 3 kenapa susunya rasanya Pahit Sekali iya? sampe2 saya Muntah dibuat. padahak Kode Exp. 06 OCT 21,,"
4,susunya enak anakku suka sekali
5,"saya p iwa, dari kopo mau komplain, saya beli susu ultra yg 1 ltr 4 buah, expire masih lama tapi tadi pagi dicoba rasanya udah basi, padahal masih di segel"
6,The best milk i ever known
7,Pabriknya dekat rumah...meskipun belum berkunjung. Suka sama produknya dan sekarang baru ikutan kuisnya langsung dapat nobar...Terimakasih
8,"SUSU ULTRA MUNGKIN ENAK,, TAPI LIMBAHNYA 180 DERAJAT BERTOLAK BELAKANG. PERUSAHAAN SEKELAS ULTRA TDK BECUS MENGELOLA LIMBAH. PENCEMARAN UDARA DI WILAYAH SEKITAR PABRIK SEMAKIN HARI SEMAKIN PARAH. WARGA SUDAH BERKALI-KALI DEMO TAPI PIHAK PERUSAHAAN SEOLAH-OLAH TDK PEDULI DENGAN KESEHATAN WARGA SEKITAR. GIMANA AMDAL NYA INI PERUSAHAAN???"
9,rasa susu yang segar dan nikmat
10,Saya sangat  menyukainya susu  nya segar dan  sehat bagi anak 2
11,Terimakasih atas respon nya yang baik . Keluhan nya Sudah saya kirim melalui email di atas beserta foto kode kemasan produksi .
12,assalamualaikum. saya baru beli ultra milk di Hyperm*rt Bengkulu yang expair nya 17 Desember 2019 dan masih bersegel ternyata susu rasa susu nya sedikit aneh seperti basi. nah yang saya tanyakan bisa kan susu nya di tukar kembali.?terimakasih.walaykumsalam
13,healthy.. aku juga sangat doyan lhooo
14,"Hai Milk Lovers.Ultra Milk Full Cream yang dibuat dari susu sapi segar, sebetulnya tidak masalah dikonsumsi setiap hari jika tidak mengganggu pola makan. Akan tetapi disarankan untuk menghubungi ahli gizi atau dokter spesialis gizi untuk konsultasi l… Lihat selengkapnya"
15,"Syalom selamat siang mymilk, saya suka banget sama UHT yg ful cream ini, tp ap aman ya kalo saya mengkonsumsi tiap hari nya itu lebih dari 2 gelas, kadang sehari semalam habis 1box yg isi 1000 ml d minum sendiri. ???"
16,Susunya kental plus yummyyy
17,"Susu Ultra, Susu kepercayaanku untuk tumbuh kembangnya anak saya.Anaknya pun suka sekali dengan susu ultra"
18,Aku suka si kecil suka semua suka susu UHT dari dulu UHT selalu no 1 �
19,Susu murni favorit keluarga. Alami & sehat.
20,Mohon infonya gmn cara order susu ultra milk soalnya gak ada salesnya yg ke madura.Trmkasih
21,"berasa minum susu dari sapi langsung,,, seger dan murni susunya"
22,Anakku setiap hari minum susu segar berkualitas ya ultra milk
23,"Sih kecil ku sangaaaaat suka ultra mimi.. Apalagi kalau ke mini market, langsung deh dia kelorong susu dan ambil all variant rasa susu Ultra mimi nya... Senang sekali jika sih kecil ambil susu tersebut... Karena saya pun sangat menyukainya... ����"
24,Kalau saya rasanya pahit sekali kenapa iya? Padahal Exp 06 Okt 21
25,assalamualikum...maf sya beli susu ultra yg full cream isu 1000ml..kok basi ya.kenapa? pdhll exspr y msh lamaaa....udh 2x basi terusaa
26,Kesukaan si Cantik Susunya Enak dan segar
27,Tolong sgr di konfirmasi.Surat ini sdh viral di medsos
28,Mau tanya apakah benar temuan dari dinas peternakan dan kesehatan pemkab sinjai... ??Anak sy rutin konsumsi susu ultra milk soalnya.
29,"saya beli susu yg ukuran 1 liter qo rasa nya basi dan menggumpal, pdahal exp nya msh lama,.  saya kecewa bgt nie, mna saya beli 2 liter,.. saya minta ganti rugi,.. kemasannya jg bergelembung"
30,"Susunya tuh enak bgt,gurih. Anaku suka bgt klo siang minum susu ini tapi yg dingin ."
31,Enak banget rasa cokelatnya...
32,Anak2 Suka susu ultra milk
33,Pko nya sangat enak.
34,Susunya ultra paling cocok rasanya..anak2 kl ganti susu rewel ngk mau merek yg lain
35,Tiap pagi minum nya susu ultramilk susu favorit sejak aku kecil
36,Susu Ultra susu kesukaan semua keluargaku
37,Susu ultra fullcream kok akhir2 ini rasanya hambar ya? Biasanya gurih enak seperti susu sapi segar. Harga naik tapi kualitas rasa turun
38,Suka Sekali Sama Susu Ultra Milk ini..Semoga Selalu ada Varian  baru ..
39,"Hari senin 8 januari 2018 saya menelpon layanan konsumen ttg susu ultra milk full cream yg saya beli, hari ini petugas dari ultra jaya sdh datang memberikan perhatian. Terima kasih Ultra Jaya semoga lebih baik"
40,Info2nya sangat bermanfaat. Susu Ultra rasanya pun enaaakkk...
41,"enak enak,,,, dan sehat, amazing banget ualala"
42,Ska bngt sama susu ini gag bwt eneg
43,Susu ultra memang suka aku beli karena rasanya sgt enak!
44,Susunya enak sehat dan bergizi cocok buat keluargaku 
45,"susu UHT sangat praktis dan mengandung banyak nutrisi.rasanya juga sangat nikmat.yang suka mulai dari anak -anak hingga dewasa.seperti saya yang menjadi penggila susu ultra.sejak saya kecil hingga sekarang sudah mempunyai anak.di keluarga saya setiap hari tersedia susu UHT dengan berbagai rasa dan ukuran.selain untuk memenuhi nutrisi keluarga,susu UHT juga aman jadi bekal sekolah anak saya..Terima kasih sudah menyertai perjalanan hidup saya..."
46,Uda ketiga kalinya beli susu ultra dan ternyata menggumpal.. Ini saya beli 10 ternyata gumpal dan basi semua!!
47,my milk yah my ultra
48,Milk Ultra Coklat susu idola my princes
49,susu adalah minuman yang sangat di butuhkan oleh tubuh kita.
50,Memberi motivasi dan mengajak pada kebiasaan minum susu segar yang memang jadi hobi saya  Susu Ultra milk pilihanku. Keep going MyMilk!
51,"Susu pengganti ASI, anak saya suka banget, semenjak berhenti Mimi ASI langsung pindah k ultra Mimi ��"
52,"MyMilk susu sehat dan bergizi serta kaya manfaat dan sangat bagus dan aman bila kita mengkonsumsinya. ""Ayo Rajin Minum Susu Segar Setiap Hari!"" "
53,MyMilk kaya akan manfaat.. dan sangat bergizi 
54,Pokoknya susu favorit saya dan keluarga... we love it ��
55,susu enak y cuma MyMilk banyak varian dan disukai semua
56,Selepas asi saya kesulitan ngasih sufor buat anak saya karena ga suka terus.pas dikasih susu ultra rasa coklat dia langsung mau.
57,Kami sekeluarga suka sekali minum susu ultra milk.. apalagi anak pertama ku.. 
58,Barusan gabung ....ternyata MyMilk memberikan banyak info tentang baik dan sehatnya minum susu apalagi susunya susu UltraGak nyesel deh......
59,enak dan bergizi
60,"Selalu memberikan info"" yang belum kita ketahui mengenai susu dan selalu berbagi info yang bermanfaat untuk banyak orang. Apalagi susu ultra Milk yang rasa Coklat Q suka banget"
61,"Anak saya dua2nya minum UHT yg plain.. Plain ini tidak mengandung gula sehingga tdk merusak gigi mrk, jadi mrk bisa minum susu sepuasnya.."
62,Luv it...
