index,Review
1,"I was totally broken when the love of my life left me it was so hard for me l almost gave up if not for a friend who directed me to a very good and powerful man called Dr clement who helped me bring back the love of my life and now  he treats me with so much love and care I don't know what problems you are passing through but with what he did for me I know he can help you, https://wa.me/message/HIVAA3NK7MGDC1Do not hesitate to get in touch with him if you need his helper?W… Lihat selengkapnya"
2,Anak jadi aktif dan tidak gampang sakit. Kalaupun sakit tidak trlalu drop
3,"rasanya enak, kualitas nya ok"
4,"kwalitas, manfaatnya serta rasanya yang enak"
5,"maaf sblumnya saya boleh kasi saran anak saya dari bayi minum susu Morinaga ,saya seneng banget terutama bab nya bagus, tapi ketika saya ganti ke chilkid babnya tiba2 keras, untuk makan sayur buah sudah saya kasi semua tapi eeknya sama aj keras, sempet binggung kok gtu waktu minum chilmid babnya baik2 aj, ternyaat setelah saya lihat komposisinya serat pangan nya ngk ada untuk Chilkid dan chilschool, saran saya jgn dihilangkan serat pangan ya karna rata2 anak teman saya yg say… Lihat selengkapnya"
6,tumbuh kembang anak jadi lebih baik...
7,nilai gizi nya lebih lengkap
8,Sufor yg bagus untuk anak
9,Susu chil school banyak sekali nutrisi yang baik buat tumbuh kembang anak aku yg makin banyak akal dan berprestasi 
10,"selama ini tdk pernah ada masalah, susunya berkualitas, enak dan team dr morinaga sgt care, sering menghubungi via telepon, penukaran hadiah jg simpel. tapi kmrn pertama kalinya saya coba beli yg kemasan 1600 gr (4x400 gr), saya agak bingung krn tekstur bubukny (seperti tepung, tdk seperti biasanya), warnanya (putih sekali seperti tepung) dan kelarutannya (sangat mudah larut, tanpa aresidu) sangat berbeda sekali dari yg 800 gr. Apa memang begitu atau palsu ya? mohon infonya ya "
11,mendukung tumbuh kembang anak
12,"Morinaga Platinum susu yang bagus dengan kandungan nutrisinya yang lengkap, membuat anak sehat pintar dan aktif"
13,Beda php dengan platinum apa ya?
14,edisi salah order harus'a order BMT p-hp ini malah BMT platinum di sini ada yg minat beliin susu'a ga yah? inbox aku yah kalau ada yg mau 
15,"hi kak,, kenapa anak saya ganti susu dr bmt gold ke chil mil gold mencret2 ya? pergantian susu mulai umur 6 bulan 2minggu. pertama nya pup nya keras,, lama2 jadi mencret2 sehari bisa 4 - 5x kak, warna pup nya kuning.solusi nya gimana ya kak?"
16,Anak saya dulu susah minum susu formula.tapi setelah saya berikan Morinaga platinum dia langsung suka dan cocok.
17,My twinny boy loved the milk and they're very quickly to learning something....thanks morinaga
18,"Morinaga tetap yang terbaik , hadiah edukasi menarik , dan si kecil aktif , cerdas dan varian rasa banyak . kebutuhan nutrisi terpenuhi"
19,"Morinaga platinum mmg keren abis deh, kualitas anak morinaga platinum juga sangat berkualitas. Pokoknya ga salah pilih morinaga platinum.."
20,"MP memang yang terbaik buat si buah hati kami, mulai BMT hingga CHIL KID"
21,"Alhamdulillah dengan menggunakan produk morinaga, anak kami jarang sekali mengalami sakit, kecerdasan otaknya semakin bertambah dan semakin aktif. hanya saja tidak terlalu berpengaruh terhadap berat badan si kecil."
22,this is what I do when a commercial ad interrupting my enjoyment watching a fb video. put your ad either in the beginning or in the end folks. you're welcome
23,DearMorinaga
24,"Susu formula yg recommed bgt buat bayi. Anak sy minum Morinaga Alhamdulillah aktif,ceria, tdk ada mslh dg pencernaan atau alergi dan daya tahannya bagus. Terima kasih Morinaga"
25,"Mohon pihak morinaga jangan telepon terus ke hp saya.mohon mengerti dengan aktifitas dari sy yang mengurus 2 anak n membantu suami.jika sy perlu saya akan menelepon ke pihak morinaga.mohon jangan nelp sampai hp saya lowbad,dan saya tidak merasa sy punya utang dengan pihak morinaga.terimakasih.*nyesal memberikan no hp saya ke pihak spg morinaga ketika sy membeli susu,bukannya masalah saya sombong,tetapi aktifatas sy tidak memungkinkan tuk menjawab semua pertanyaan pihak morina… Lihat selengkapnya"
26, mantab......................
27,Sounds Of Cantata Music School (021-58900691)adalah sekolah musik yang menawarkan pendidikan musik secara holistik kepada anak-anak dari umur 3 tahun ke atas.  Kami memiliki guru-guru bersertifikasi internasional dan fasilitas yang sangat nyaman.
28,Anak saya gibran dari bayi minum susu morinaga..dr bmt.chil mil dan skg chil kid..soalny skg udah 2 tahun..rasa vanila dan madu dy suka semua....bnyak dpt hadiah2 ny kg. Mskasih morinaga
29,"Anak saya suka bgt sama susu child kids yg usia 1-3 th rasa madu,selain itu anak saya aktif,daya tangkap'a cepet dan juga tumbuh kembang'a bagus,makasih morinaga ���"
30,Anak Saya baru 4 bulan minum morinaga chil kid platinum dapat dapet scooter gratis���Seru banyak hadiah nya
31,"Anakku yang pertama minum morinaga platinum madu sejak usia 1 th , karena rasanya yang manis dan enak .. Terima kasih morinaga berkat morinaga anakku yg tadi nya tdk suka minum susu , sekarang minum susu nya luar biasa ..Kini usia nya sdh 3y9m dia sangat pintar , lincah , ceria .."
32,Dear MP..
33,"Sejak lahir anak saya minum susu morinaga n skrg usianya sudah 2thn 3bln. Hyperaktif banget beda dari teman2 seusianya.Sering dapat hadiah dari morinaga,ada yg dikirim dari jkt maupun dari supermarket�"
34,Semenjak anak saya ganti susu... Hanya child school yg dia suka.... Thx morinaga.
35,Anak saya usianya 19 bln ..dia minum chilkid platinum dr lahir.soalnya asi saya tdk keluar..tp dr usia 6 bln susah sekali makan.kadang tdk mkn sama sekali.hanya minum susu saja..kira2 itu knp ya..ap krna dia sdh kenyang dngn mnm susu.mksh
36,"Rasanya enak,anak yg minum susu morinaga anaknya aktif dan pintar"
37,"Kandungan nutrisinya sangat lengkap, bagus untuk tumbuh kembang si kecil. Anak saya anak morinaga, anak generasi multitalenta...."
38,Bagus bgt. Anak saya dr ga mau minum susu jd mau skrng. Nafsu makannya juga udah banyak. Mksh chilkid platinum..
39,Susu morinaga platinum memang bagus...terbukti kpd anak saya...alhamdulillah secara fisik sehat meskipun badan tdk gemuk tp kuat...otaknya sepertinya tak bhenti bekerja..sllu ingin beraktifitas...Dari bayi tambahan asi...si bima sllu mengkonsumsi morinaga...awal bmt platinum morinaga...
40,Anak qu waktu bayi alergi pake morinaga bmt..alhamdulillah skrg dh 2thn malah cocok n suka bgt..trutama rasa vanila. Minumnya 4-5x sehari..merk lain g mw..
41,"Thx u morinaga, terbukti anaku sangat pintar berkat morinaga jugaa yg menunjang pertumbuhannya."
42,"Terima kasih MP anak2 saya semakin pintar.. Kakaknya yg usia 2,5th daya ingat,daya tahan dan lebih pintar dr temen2 seusianya.. Sedangkan adiknya yg baru 8bln sdh bs belajar berjalan,daya tangkapnya lebih cepat drpd teman seangkatannya.. �Terima kasih Byk MP"
43,Terbukti anak yang minum moniaga cerdas.stamina good.
44,"Selain ASi sy beri nutrisi tambahan unk snk sy.namun Anak saya selalu tidak suka dn gonta ganti susu terus cz selalu gk d minum ap lg anak sy riwayat prematur,tpi sya coba kasi morinaga alhamdulillah suka.trmksi morinaga"
45,"dear morinaga,,  anak saya berusia 6 bulan... namun saya bingung dengan produk susu formula yg baik saga berikan bagi anak saya... saya coba baca2 di kotak produknya antara BMT dan Chilmill iti hampir sama menurut saya,,, mohon rekomendasi susu formula yg baik untuk anak saya..  terima kasih.."
46,"Sejak umur 2th anak saya minum susu morinaga cocok bgt, dr yg sebelumnya gaj ada yg cocok. Bagus deh"
47,"Hai morinaga,jujur ini adalah pengalaman pertama saya menggukan produk morinaga,awal nya saya menggukan sufor merk lain untuk kebutuhan si kecil,namun bulan lalu nafsu makan nya mulai menurun dan Bb nya ikut menurun,dengan sangat hati2 saya memilih untuk menggati sufor si kecil dan pilihan saya tertuju pada morinaga 1-3 rasa Madu,ternyata pilihan saya oke,nafsu makan si kecil bertambah seiring BB nya,senang rasa nya melihat si kecil tumbuh pesat bersama morinaga.trimakasih morinaga."
48,AnakQ Robbian Syah mengkonsumsi Morinaga mulai dr BMT hingga saat ini Chil Kid.Kemampuan otak-a dan keaktifan-a luar biasa hebat.Padahal ank Saya lahir premature loohhh...Tp dbantu asi yg baik dan Morinaga Chil Kid membuat anak saya jd tumbuh sehat dan aktif.
49,Anak saya sll mengkonsumsi morinaga sehingga daya tahan tubuhny kuat dan aktif
50,Awalx anak saya minum susu merek lain dari lahir sampai 5 bulan tp kayax si kecil gak suka krn takaranx selalu sama 30ml  badanx sikecil pun kurus  pas aku ganti susu Morinaga platinum wahhhh luar biasa anak saya suka sekali dan takaranxpun udah naik 80ml tiap 1 jam minta susu lagi dan pertumbuhanx pun alhamdulillah sehat n gak mudah sakit
51,Good quality...
52,Terima kasih morinaga terbukti untuk membantu tumbuh kembang buah hati saya alil
53,bunda...gmn caranya dpt hadiah promo chil kid soya nyaabis tingga di daerah jd hadiah promonya jg jarang bgtmkshsoalnya anakku dah make morinaga dari udia 7 bl  sampe skrg mau 22bln
54,Susu formula terbaik buat bayi yang hanya dapat sedikit ASI.
55,"bagus banget, emang, tp price nya??????"
56,"Hay MP.  Sejak lahir ank saya sdh minum BMT platinum, berhubung Asi saya kurang.Puji Tuhan dgn bantuan MP pertumbuhan nya cepat. Gerakan tangan dan kaki aktif bangat.Morinaga Ada hadiah utk setiap pembelian.  Kalo boleh utk pembelian morinaga di apotik atau alfamart dapat hadiah juga donk....  ���"
