index,Review
1,"I was totally broken when the love of my life left me it was so hard for me l almost gave up if not for a friend who directed me to a very good and powerful man called Dr clement who helped me bring back the love of my life and now  he treats me with so much love and care I don't know what problems you are passing through but with what he did for me I know he can help you, https://wa.me/message/HIVAA3NK7MGDC1Do not hesitate to get in touch with him if you need his helper?W… Lihat selengkapnya"
2,Produk dari Prenagen sangat bagus sekali buat ibu dan buah hati
3,"Dear Ibu Elena Veronika Siburian, terima kasih atas kepercayaan Ibu pada PRENAGEN World. Tetap nantikan informasi menarik lainnya ya Bu. Salam hangat  ^pw"
4,ingin tau banyak tentang tahap masa menyusui anak.masih butuh banyak belajar pengalaman pertama soalnya
5,Banyak varian rasanya dan ga bikin enek
6,ingin lebih banyak pengetahuan tentang kehamilan
7,ingin banyak tau tentang kehamilan
8,"Sangat Memuaskan.... dari mulai artikel, tanya jawab, serta picture yg mengesankan memudahkan kita para ibu hamil dan menyusui untuk memahami apa yang @Prenagen sampaikan...informasinya sangat membantu sekali dalam menjalankan kehamilan dan menyusui, tak lupa juga  cara mengurus bayi baru lahir....trimakasih Prenagen"
9,"Saat perencanaan kehamilan sampai menyusui minum Prenagen, sangat membantu sekali memenuhi nutrisi yang dibutuhkan oleh mama yg sedang ingin hamil, sedang hamil, mual saat hamil dan ibu menyusui, paling suka rasa coklat �� apalagi sekarang ada yg siap minum,  praktis bisa diminum kapan saja dan dimana saja �"
10,"Halaman ini sangat edukatif untuk calon ibu, ibu hamil dan ibu menyusui. Respon adminnya juga cepat. Rekomended banget buat yg ingin sharing ttg kehamilan dan masa menyusui."
11,Senang banget mengonsumsi susu prenagen. Dari yang awalnya saya gak doyan susu setelah mencoba minum susu prenagen ternyata rasanya enak banget apalagi tersedia banyak varian rasa serta kandungannya yabg bagus buat perkembangan janin. Saya juga minum prenagen juice suka banget yang rasa delima anggur yg mana buah delima sangat bagus sekali dikonsumsi para bumil. Terimakasih prenagen. Semoga sehat terus.
12,"awal menyusui,adalah awal yang sangat emosional bagi saya. pelekatan, belajar untuk heart to heart. diawal, memang asi saya tidak keluar langsung banyak. tapi ada.dan untuk memenuhi gizi yang seimbang, maka saya putuskan untuk mengkonsumsi prenagen lactamom hingga saat ini.prenagen tidak hanya teman saya saat menyusui saja, tetapi saat mengandung juga."
13,"Kehamilan pertamaku ini aku percayakan nutrisi untuk bayiku kepada susu prenagen ,udah coba semua rasa ,rasanya enak semua aku paling suka rasa vanilla karna manisnya enak bangett gak bikin mual , terimakasih prenagen �"
14,"Ini kehamilan pertama saya, dari awal memang minum susu prenagen dan belum pernah beralih susu ke merek lain, karena saya tidak mengalami diare atau muntah sehabis minum susu ini, jus nya juga enak rasanya apa lagi kalo dingin nyees banget ditenggorokan. Semoga sampai melahirkan nanti bayi nya sehat dan ibu nya juga sehat. Amiin"
15,"PW Sangat membantu utk ibu"" yg dlm masa kehamilan, melahirkan hingga menyusui. Sy sgt menyukai rasanya yg tdk bikin eneg. Thanks PW"
16,"Susunya enak , nutrisi nya lengkap"
17,"Solusi yg d berikan dr prenagen sangatlah bagus dan penting buat saya yg baru pertama x merasakan jd ibu hamil,susu prenagen mommy rasanya enak2 mau rasa apa aja jg enak apa lg jus dr prenagen rasa anggur perpadu pomegranet bikin segar d mulut dan ga bikin eneg saat di minum,"
18,Biar ga mual minum prenagen emesis
19,Susunya enak..nggak bikin eneg... Saya waktu hamil kemarin selalu setia minum prenagen..all varian saya sukaa
20,"Susunya enak, saya minum prenagen selama kehamilan. Tapi service after salesnya tidak memuaskan! Mengajukan pertanyaan yg sama sampai 2x tidak ada jawaban. Merasa kecewa sbg pelanggan."
21,Sangat membantu sekali...selalu menjawab setiap pertanyaan saya � terimakasih
22,Pertama kali coba prenagen rasa vanila yg uht langsung suka dan gak bikin mual...
23,Prenagen enak dan rasanya tdk buat eneg terimakasih Prenagen...suka banget
24,Bagussss banget Prenagen Lactamom untuk meningkatkan kualitas dan kuantitas ASI secara optimal
25,"Dari awal hamil sampai sekarang menyusui mengonsumsi Prenagen. Berbagai macam rasa sudah dikonsumsi. Rasanya enak, dan gizinya sesuai kebutuhan."
26,Sejak hamil sampai sekarang menyusui saya selalu konsumsi susu prenagen. Saya suka susu prenagen rasa vanilla dan coklat...tp lebih sering konsumsi rasa yg coklat. Terima kasih prenagen untuk hadiah lunch boxnya dan jg terimakasih prenagen world yg selalu memberikan informasi tentang kehamilan dan proses menyusui dll. Terimakasih admin PW yg selalu setia menjawab pertanyaan-pertanyaan dari para likers prenagen. :))
27,"Jawabannya D.  Semua jawaban di atas benarWaktu hamil suka minum prenagen rasa coklat, apalagi kalau dtaruh dkulkas dan jadi beku, minumx tambah asik dkeruk2 pakai sendok, berasa kayak mkan es krim �#PRENAGENHotshot"
28,"Dari anak pertama sampe ini menjalani anak ke 2, susu prenagen rasa coklat memang the best!!!Rasa mual yg sering di keluhkan ibu hamil hilang, bayi juga sehat bergerak gerak...Puji Tuhan, dari awal pke prenagen gk mau berpaling... Tetap sukses ya prenagen.."
29,Mantap Prenagen world berjayalah
30,Suka bgt sama rasa coklat dari susu prenagen dari mulai awal kehamilan sampai sekarang 18w terimakasih Pw sudah menjadi teman terbaik di saat masa masa kehamilan ���
31,Terimakasih prenagen karna kamu kami selalu bisa memberikan yg terbaik bagi buah hati kami
32,Pw saya mw nanyaSaya punya anak 10 bulanKalau siang badan nya biasa aja kok giliran malam badan nya panas terus ya pwApa penyebab nya boasa nya t pw??? Makasih pw
33,"Maaf pw mau tanya,usia anak saya 9hari puting payudaraku kecil dan agak masuk ke dalam,padahal asi nya banyak dan si kecil pun tidak mau menghisp,terpaksa aku pumping aku minumkan pakai dot,solusi agar puting bisa menonjol bagaimana pw?"
34,Sangat education dan senang ada pendukung nutris saat perencanaan kehamilan sampai menyusui...
35,Sounds Of Cantata Music School (021-58900691)adalah sekolah musik yang menawarkan pendidikan musik secara holistik kepada anak-anak dari umur 3 tahun ke atas.  Kami memiliki guru-guru bersertifikasi internasional dan fasilitas yang sangat nyaman.
36,Susu prenagen selalu menemaniku selama program hamil sampai sekarang menyusui... Terima kasih PW
37,"Dear PW, 4 hari yang lalu saya beli susu Prenagen Mommy rasa cokelat dari Apotik dekat rumah saya (P. Siantar, Sumut) dan kemasan nya buat saya ragu (apakah palsu) karena persis sama dengan info yang saya dpt dari kasus susu palsu di Malasyia, jadi saya memutuskan tidak meminumnya. Dan hari ini saya beli susu dari distributor, saya cek kemasannya, teryata beda dengan yg saya beli dari apotik.. Saya sudah photo (tpi ga bs attach dsini).Mohon segera di tindak lanjuti (kasih i… Lihat selengkapnya"
38,Sgt menginspirasi dan penuh edukasi
39,Sejak saya menikah dan tau kal saya hamil saya merasa mual-mual saya lalu minum prenagen sampai usia kandungan saya 8 bulan dan udh lahiran anak saya udh berumur 5 bulan pintar banget..
40,"Bagus sekali,,agar banyak pengetahuan teteng kehamilan"
41,"Pw mo tanya dong,kalau minum susu pw esensis di tambah dengan Folavit 400mg boleh g tuh???"
42,Banyak informasih penting tentang kehamilan dan anak
43,Di prenagen banyak banget info lengkap yang didapat dan bermanfaat bagi pertumbuhan seputar si kecil.Awesome... !!!!! ^-^
44,"Saya suka rasa prenagen plan waktu hmil, menyusui lanjut prenagen coklat"
45,"Semenjak hamil saya selalu minum Prenagen dari yg Emesis mommy sampe mommy,sangat membantu & rekomendasi turun menurun dari keluarga.banyak info yg bermanfaat dari seminar Prenagen dll,hadiahnya juga ok²."
46,Memberi informasi yang sangat bermanfaat untuk kita yang sedang Promil.Ataupun yang sedang hamil..Dan dilanjutkan untuk ibu menyusui..Terimakasih Prenagen World.Kami menanti informasi selanjutnya..
47,Kehamilan awalku pasti mual muntah.. alhamdulillah minum susu prenagen emesis bisa masuk setidaknya sedikit tenang ada asupan nutrisi baik untuk janin...
48,Prenagen world selalu setia waktu setelah nikah dg prenagen esensisnyaPernah coba prenagen emesis waktu mual2 Sekarang ngeasi prenagen lactamomTerimakasih pw
49,Pw aku mau tanya dong aku kan dr hamil sampe anak ku lahir pake produk kalbe ya ..beberapa bulan yg lalu aku dapet sms akan dapet hadiah musik box tapi sms nya ke hapus ..aku di suruh foto bukti pembelian susu anak nya ..terus masih bisa ga ya pw?
50,"PW, gimana sih ciri2 baby alergi susu sapi?"
51,Alhamdulillah istri dan anak saya suka pw.. apalagi anak selama minum pw dia semakin aktif bergerak...
52,"Anak pertama sampe sekarang hamil kedua, tetep setia pake prenagen walau suka di imingimingin pake susu inilah itulah, terimakasih prenagen .."
53,Saya dari pertama menikah sampai anak kedua minum nya selalu prenagen...
54,"Prenagen juice enak bangeettt, syg di kota ku agak susah nyarinya, di alfa sm indomaret jg ga ada"
55,"Hai PW..  Saya mau share dikit ttg kehamilan saya..  Saat ini saya sdg hamil anak pertama uk 14w,berat badan saya gak kunjung naik sampe skrg, tp perut mulai besar. Pdhl mkan sehari bs smpe 5-6x. Kira2 susu prenagen ini bs ngebantu nambah bb gak ya??  Mohon infonya ya..  Saya rada kepikiran soal bb saya ini.."
56,"Alhamdulillah hamil yg ke 2 ini juga q sll setia dg susu Mommy prenagen..Yg bisa memasukan nutrisi"" pda janin ku.."
57,"Dari sebelum hamil smpe menyusui, prenagen selalu melengkapi kebutuhan nutrisiku.. Rasanya yg enak yg bikin aq ga pernah pindah ke lainnya.."
58,terimakasih prenagen selalu memperhatikan ibu hamil bahkan saat persiapan hamil pun. tips dan info dari prenagen world sangatlah bermanfaat bagi saya.
59,"Sejak saya merencanakan kehamilan, saya mempercayakan Prenagen esensis sebagai tambahan nutrisi program hamil saya.Hingga akhir nya dengan perantara Prenagen alhamdlillah saya saat ini sedang hamil..Dan sekarang lanjut dengan Prenagen mommy rasa vanila..Terima kasih Prenagen World"
60,Halo prenagen.  Saya Katrin.  Saya mau tanya donk.  Usia kandungan saya skrg jalan 34wk.  Dah saya punya keluhan miss V saya sakit sudah 4 hari ini.  Kira2 itu karna apa ya?  Soalnya saya worry banget belakangan ini.  Mohon bantuannya donk.  Apalagi kalo saya dari duduk ke berdiri dan jalan.  Rasanya perih seperti  ada luka d dalam miss V saya.
61,Pagi kak.. mau tanya donk cara seduh susu prenagent yg benar bagaimana? Ada yang bilang tidak bole pakai air mendidih ya? Mohon jawabannya ya kk. Thanks
62,"Prenagen selalu setia menemani ku dari waktu hamil anak pertama,Menyusui sampai hamil anak kedua ku ini ""Baby twins"" dan sampai sekarang Saya banyak medapatkan ASI untuk menyusui kembar berkat Prenagen... �"
63,"Siang pw, maaf mau tanya. Anakku berusia 2th.. seminggu belakangan ini tidak mau makan. Mau nya minum susu saja. Ngemil sprti biskuit ataupun buah jg kurang. Mohon solusinya pw. Trima"
64,"Prenagen kembali menemani kehamilan keduaku, top banget deh"
65,"Prenagen mommy rasanya lebih enak apalagi rasa vanilla, pokoknya prenagen top banget"
66,"Selamat sore PW,,saya mau tanya usia kandungan saya 16w, akhir akhir ni perasaan saya lebih senstf,gampng bersedih dan perasaan sya ga karuan gtu,,itu knpa y PW,,apa ad hubungan ny dngn kndungan saya,,dan ap beresiko jga terhdap kndungan. mhon jawaban ny PW."
67,Pw terbaik.
68,"Love Prenagen so much... Aq minum Prenagen sejak awal kehamilan hingga menyusui tetap percaya dengan Prenagen. Semua rasa aq suka, apalagi rasa Strawberry. Anakku tanpa sufor, tumbuhnya sangat pesat... berkat ibunya minum Prenagen. Terima kasih prenagen. "
69,Saya konsumen setia Prenagen sejak awal kehamilan dan hingga saat ini putra saya usia 5 bulan.. Dan di PW ini saya mendapat banyak informasii yg sangat bermanfaat
70,"prenagen world sarana terbaik untuk bertanya tanya seputar kehamilan,"
71,"Bberapa waktu lalu CS dr Prenagen tlfn saya,, kbtulan pada saat itu hp saya lg ad gangguan jd saya tidak mndengar suara dr CS trsebut tp suara saya ddengar oleh CS Prenagen,, setelah saya bs jelas mndengar suara CS tersebut saya mnjelaskan dn mohon maaf bhwa hp saya ada gngguan tp CS trsebut dgn nada yg kurang enak mengatakan klw saya berbohong smbil mnutup tlfn nya..Apakah semua seperti itu CS dr Prenagen ya?? Kurang santun dlm melayani pelanggan..Oiya,, tp dr mulai persia… Lihat selengkapnya"
72,Alhamdulillah pas pW adain Seminar prenagen Journey dibogor aku dpt Doorprize Baby stroller.. Banyak Ilmi bnyak pengetahuan untuk Ibu Muda kaya saya� trimaksih prenagen�
73,"Terima ksh prenagen sudah mnemani saya dr rencana khmilan hingga kini saya hamil 20 weeks..sehat2 ya syang di perut ibu,seneng bgt hr ini dpet kiriman hadiah dr prenagen,bnyk bgt.."
74,Subhanallah semoga melalui asupan susu prenagen ini janin kita berkembang lebih baik dan sehat sampai terlahir didunia menjadi generasi penerus umat islam dan bangsa indonesia yang terbaik..aminTrima kasih prenagen..
75,Seru juga tanya2 d pW..Ada aja solusinya...makasiihh pW �
76,Terima kasih prenagen...setiap bulan nya selalu menanyakan kabar .......aneh nya dr dulu  bisa tau nomer hape sama nama saya .....tp saya salut dan bahagia bisa mengosumsi susu prenagen dr blm hamil sampe sekrng hamil 26 w...makasih prenagen smoga persalinan saya lancar dan sukses.aamiin
77,Info2nya Sangat membantu..bisa sekalian konsultasi juga..
78,Selamat sore PW. Saya mau tanya. Usia kandungan saya masuk 8 minggu. Saya ingin puasa. Apakah boleh puasa di trimester awal kaya saya ? Terima kasih PW
79,"Pagi dan malam selalu setia minum Prenagen Mommy Biofe, rasa coklat rasa favorit ku , rasa lebih enak. "
80,"Pagi pw, sya mau tanya awal kehamilan bagusnya minum susu yg mana, yg momy emesis atau momy saja. Dn beda keduanya apa? Terimakasih"
81,"siang pw, mau tanya nih skrg sy lg telat 5 hari , setelah TP hasil positif, tp pas usg blm kelihatan�haid terakhir tgl 25 nopember, kira"" brp usia kandungan saya? apa ad kemungkinan hamil anggur dan sejenisnnya?.terima kasih sebelumnya"
82,I looove prenagen. Selama hamil aku konsumsi prenagen coklat. Rasanya enaakkk!
83,"Mantep...sangat membntu untuk menambah pengetahuan seputar khmilan,persalknan n perawatan bayi n balita"
84,Belajar untuk lebih baik..
85,"Terimkasih Prenagen selalu setia ngasih masukan2 pendapat2 seputar persiapan hamil, kehamilan bahkan sampe masalah anak. PW thebest"
86,"thanks prenagen sudah membuat produk yang namanya Prenagen Emesis khusus untuk ibu hamil yang sedang mengalami Mual Muntah.. Jujur pada saat hamil dan masa mual muntah menyerang, cuma prenagen emesis yg mengerti keadaan tubuh saya  terimakasih banyak PW"
87,Dr hamil ank pertama smpai hamil ank ke dua. Aq msh setia sm prenagen rs coklat. Mksh prenagen..
88,pw bener g prenagen juice itu mnuman buat ibu hamil?
89,"Dari awal persiapan kehamilan saya percayakan pada PRENAGEN,Hingga kini kehamilanku saya rutin konsumsi PRENAGEN Mommy&PRENAGEN Juice...PRENAGEN Selalu memberikan yg terbaik untuk ibu hamil&janin,terima kasih PRENAGEN telah menemaniku dari persiapan kehamilan hingga kehamilanku saat ini (27 minggu)"
90,"pagi PW.. pw saya uk 13w ,dari kmarin kpala saya migren dan tidur pun ga nyaman.. dan perut kadang suka ngerasa ngilu tp ga sering, itu knp ya PW mohon pencerahannya.. mkasih PW"
91,"Suka sama susunya prenagen dari yg esensial,emesis dan sekarang lagi coba yg mommy. Semoga prenagen bisa terus menemani smp Dede bayi aq lahir. Dan bisa nyobain prenagen lactamom. Amin terima kasih prenagen"
92,PW... gimana cara ngehadapin sikecil yg mau disapih dan apa yg harus bunda lakukan ...?Yang sdh pengalaman bisa ikut komen?!
93,"Informasinya pas banget untuk cln ibu dan ibu.. Smg pw ttp konsisten. Excellent pw,!"
94,Alhmdulillah dri kehamilan anak pertama smpe skrg hamil anak ke 2 saya setia minum prenagen mommy 
95,"Halo PW, saya mau tanya nih..saya sedang hamil dengan usia kandungan 26 minggu, tapi bb saya hanya naik 5 kg n perut saya kelihatan masih kecil gak kayak ibu hamil pada umum nya ya..apakah itu hal yang wajar atau bagaimana, soalnya saya kwatir PW.mohon penjelasan nya ya bun.thanks..."
96,"Dari mukai aku hamil suamiku bahagia bget. Sampai dy sll nganjurin aku mnum susu prenagen stiap hari.. Dia suami siaga,penyabar dikala aku hamil dan selalu berusaha menyenangkan hati aku. Kehamilanku tergolong nurut. Soalnya disaat aku hamil aku juga lagi memperjuangkan skripsiku. Hemmm.... Benar2 penglaman yg indah bagiku. Trimaksih prenagen..."
97,Byk bgt info yg bisa kita ambil dr prenagen wordlMksi ya pw untuk info n saran ny
98,"Sangat tanggap menjawab keluhan-keluhan ibu hamil maupun calon ibu hamil, serta slalu memberikan solusinyaa... I Like prenagen  Trimakasiih."
99,"Sya minum susu prenagen mulai dari prencanaan awal hamil,sampai saya hamil dan menyusui pun saya masih minum susu prenagen.tim prenagen selalu ngadain seminar sya selalu.hadia2nya sangat kenarik.sya mengkoleksinya dari gelas,tas kecil,cd dll."
100,"Selalu menanggapi pertanyaan para ibu , sangan membantu sekali , makasih pw semoga barokah .."
101,Pas hamil konsumsi susu prenagen mommy prenapro sekarang giliran konsumsi prenagen lactamom biar ASI lancar
102,Terimakasih PRENAGEN...sudah menemani saya dari promil sampai sekarang udah punya beby..�
103,"prenagen the best deh...dari perencanaan sampai menyusui susu yg saya minum prenagen, love this milk"
104,Bnyk memberi info soal kehamilan n menyusui
105,"saya baru minum prenagen uht vanilla, dan tersadar setelah melihat kode produksinya. disitu tertera expiry date '16 dan kode produksi '09?? jadi susu tsb udah 7tahun umurnya???? mohon dikonfirmasi jika saya salah, kode expiry date di bag atas tertulis '16 dan dibwh nya kode produksi '09. mohon feedback dari pihak prenagen"
106,"Terima kasih Prenagen yg setia menemaniku mulai promil, hamil dan sekarang sedang menyusui.. Mulai anak pertama sampai anak kedua sekarang.. Alhamdulillah anak2 sehat, kebutuhan gizi terpenuhi dan ibunya bahagia"
107,"PW mau tanya nih,usia kandungan saya 18 minggu,tpi bnyak yg pda bilang perut saya masih kecil,apa emg sudah wjar usia kndungan sgtu msih blm keliatan?? Mksh PW.."
108,"Info kehamilan dan bayi sangat dibutuhkan bagi orang tua, terutama orang tua baru"
109,Apa perbedaan prenagen lactomom yg ada tulisan biofe & yg tdk ada tulisan biofe nya?
110,"Prenagen sudah menemajiku sejak hamil anak pertama,,kedua,,dan ini yg ketiga 13w..thanks prenagen.."
111,"Dari awal menikah sdh minum susu prenagen perencanaan biar dedex tmbh sehat dan sampai khamilan 7 bln nc tetap minum prenagen..Semoga nanti wkt melahirkan dedenya sehat,sempurna & ibunya jg sehat"
112,"Alhamdulillah.. sangat membantu, Trimkasih ats khadirannya n smg kdepannya smkin suksess Prenagen World"
113,"pw, blh ga sih busui mnum vitamin dr ekstr kulit manggis ?! terimakasih"
114,Seneng bgd tiap hari liat akun ini.... sebagai salah satu motivasi..
115,Siang bunda saya mau tanya. Kmarn saya ke apotik ada jus prenagen. Tp aku bingung. Si penunggu apotik jg bingung. Ni jus untuk bu hamil apa menyusui. Krn g ada tulisannya. Cm mengandung asam folat
116,"Trima kasih prenagen,smenjk ak minum susu prenagen debay ku banyak gerak,,mudah"" sehat slalu buat debayku"
117,Bunda dan pw.anakku 4m7d.apa saja yg seharusnya sudah bisa di lakukan oleh bayi berumur 4 bulan?
118,Alhmdulillah saya mendapatkan kartu dan vocer dri prenagen...prenagen smoga jaya di udara Amiiin
119,"PW,,aku mau promil minum susu yg mana ya,,,"
120,"trimakasih Prenagen,setia menemani hariku dihamil pertama dulu dan lanjut yg kedua ini."
121,Informasi sama artikel2 nya bagus ga share yg aneh2 dan ngebantu bgt buat calon momy kaya saya dan yg udh jd momy jg..
122,"Terima kasih prenagen. Berkat minum prenagen essensis sebelum menikah, 1 bulan setelah menikah saya langsung hamil.Sekarang prenagen mommy menemani hari2 masa kehamilan saya"
123,Good product...q berhsil hamil dg knsumsi prenagen esensis
124,"Prenagen world sngt mmbntu, wktu saya hamil smpai skrng...cos bnyak sklia pngthn"" tntng khmiln trs bsa curhat""jg ksih saran""jg sma PW...dh gtu bunda"" yg ada di PW jg baik""..."
125,"Pw..ank sy 5bln..sdh smggu ini blm BAB,ank sy msh mnum asi,gak rwel,,gerak aktf,,dan srg kntut.bgmn pw?trmksh ats pnjelasannya."
126,pw.. knp smnjak usia kndungan mmasuki 8 bulan gg pnah biisa tdurr malam harii?? baru bisa tidurnya jam 7 pagi ??
127,"Info""nya sngat brmnfaat n mnjwb dri mslh"" yg dhdpi"
128,"Syukur alhamdulillah aq knal susu prenagen...selama hamil aq minum prenagen...alhamdulillah anaku sekarang sehat,cantik dan ngebanggain banget...sempet juga waktu aq hamil ikut acara prenagen disurabaya di gramedia...acaranya menyenankan..."
129,"Saya udah 15bulan nikah ,konsumsi prangen esensis , tapi blum hamill juga  "
130,Meenemaniq dari masa perencanaan hamil hingga menyusuiThanks prenagen
131,"Pagi .,bu saya mau tany? Anak saya skarang sudah berumur 4th, dulu saya pernah memakai KB, tpi sudah15 bulan saya berhenti, tapi ko susah buat hamil lagi? Apa masih ada pengaruh obat dari KB tersebut? Dan apabila masih ada pengaruh obat bagaimana cara menghilangkannya?"
132,Mw nanya apa iya klo pendrita penyakit gula/diabet gak bs punya keturunan lg???
133,"Pagi mau tanya nich apa sich solusi anak batuk,pilek panas tanpa d bwa ke dokter tapi yang alami karena takutnya nanti baby ku jadi keseringan ke dokter mohon solusi nya Makasih"
134,"Pw, bntr lg dd mpasi kra2 pure apa ya yg bgus bwt perdana mpasi?  Trz mknnya shri brpa kli?  Trma ksih pw."
135,"mw tnya ni PW,; untuk kehamilan 20 minggu, berat bayi ddlm ideal n standart ny brp y PW?mohon infony ya, trimakasih"
136,Trimakasih prenagen telah menemani dan melengkapi gizi Q selama kehamilan pertama q ini yg sudah masuk 32 w...moga bersama prenagen aku dan dd bayi bisa sll sehat dan selamat sampai lahiran.. amin.... salam prenagen buat seluruh ibu d indonesia......
137,Tempo hari dr prenagen tawarin baby spa via telepon... katanya mau sms lokasi baby spa-nya tp smpe skrg gag di sms tuhh...
138,"Mlm pw mw tanya nih..rambut aku rontok nya banyak setelah punya baby,apa penyebab nya?apa mungkin karna KB apa masalah hormon..share dong,makasih..."
139,"Pw, anaku usianya satu bulan, lg pilek..., klo pun di ksih obat, obatnya ap....,  ksian nafasnya susah..."
140,PW..tolong dshare keuntungan & kerugian alat2 KB donk..Makasih..
141,"Mlm pw,,,mau tnya uk 28 week brp bbj yg normal? Thanks pw mohon share ny."
142,Hai.... prenagent. Perkenalkan saya ayu. Saya mau nanya nih. Preg. 1bulan lagi saya mau nikah. Saya mau beli dan minum prenagent esensi. Tapi bingung di konsumsinya itu sebelum menikah atau sesudah menikah?Mohon atas jawaban dari pertanyaan saya. … Lihat selengkapnya
143,"@w3,,,Prena9en mRupakn label $u$u y9 mPerhatikan BuMil d9 $nam Hamilx y9 $lalu $aya ikuti $min99u $kali d9 $minar $tiap Bulanx & Bu$ui d9 Nutru$i dlm Lactamomx  I Like It,,,"
144,Pw..4hari lg hpl..tp blm ngrsain apa2..knpa yaaa??
145,Menberikan info yg brmanfaat bg ibu hamil
146,lg promil lg nih..udh 3 bln mnum prenagen esensis..smoga brhasil  amiin
147,My inspirasi
148,Bener2 ahlinua nutrisi ibu hamil
