index,Review
1,iyah makasih
2,harganya terjangkau anak bayi saya juga cocok minum sgm berat badannya juga bertambah terus makin sehat�
3,harga terjangkau dan anak juga Suka 
4,"Hai Ayah Dennis Saputra, terima kasih sudah share dan atas kepercayaan Ayah memberikan susu SGM untuk membantu penuhi kebutuhan nutrisi si Kecil. Boleh kami tahu Ayah, berapa usia si Kecil saat ini dan sudah pintar apa saja? "
5,"SGM ini bagus untuk pertumbuhan anak saya membuat anak saya bertambah berat badan yang ,anak menyukai SGM rasa madu yang manis sekali ."
6,"Harga terjangkau, si kecil juga suka. Kalau ada rasa coklat, makin recommended."
7,rasanya enak dan ga mual.
8,"rasanya enak, kebutuhan ibu hamil itu lengkap alhamdulillah.dan harga terjangkau apalagi klo ada promo langsung beli banyak saya . harga hemat bgt dg isi berat segitu.. gak kalah saing pokoknya"
9,enak harga terjangkau aku suka
10,"harga terjangkau, Rasa enak & memenuhi nutrisi hamil & menyusui."
11,rasanya enak dan produk susu terbaik nutrisi ibu hamil
12,"Hai Bunda Yozora Mikazuki, terima kasih atas kepercayaannya memilih produk SGM Bunda untuk melengkapi kebutuhan nutrisi Bunda selama kehamilan. Semoga kehamilan Bunda selalu dalam keadaan sehat ya "
13,Baru pertama kali nyobain SGM Bunda rasa coklat & ternyata rasanya enak bgt 
14,"BUN anak saya pake susu SGM yg rasa vanila 1-3 cocok , cumn sekarang jarang2 ada kemasan lama anak saya coba pakr yg kemasan baru gax cocok pup ya agk encer terus pup terus"
15,"rasanya enak, harga terjangkau, hemat cukup 1 gelas sehari"
16,harganya terjangkau dan anak-anak suka sekali dan sukses terus buat SGM BUNDA
17,rasa y enak ank ku suka bngt dan harga y sangat ter jangkau
18,gizinya bnyk hrg terjangkau
19,rasanya enak dan penuh nutrisi
20,"rasanya yang enak, harga terjangkau dan bergizi"
21,SGM qu suka rasa nya enak .rasa faforit stroberi
22,Rasanya enak dan banyak variannya
23,"Hai Bunda Murni La Miri, terima kasih sudah share. Salam hangat untuk si Kecil semoga selalu sehat ya "
24,SGM sangat enak dan menyehatkan
25,rasanya enak saya suka rasa coklat lebih suka lagi rasa mangga hamil pertama suka bangt rasa itu tpi sayang sekarang udah gak ada
26,rasanya enak dan sehat untuk para bundA
27,rasanya sangat enak dari susu yg lainnya
28,"rasanya yg super enak, Nutrisi bagus dan hargapun terjangkau"
29,"Hai Bunda Marina Mia S, terima kasih sudah share ya "
30,"rasa yg enak bikin anak suka juga banyak variannya, harga juga terjangkau lg . pokok nya SGM pas deh dihati sama dikantong "
31,rasanya enak dan banyak varian rasanya
32,"dengan mengkonsumsi SGM Bunda yang lengkap banget nutrisinya untuk memenuhi kebutuhan nutrisi  pada masa awal kehamilan hingga menyusui dan enak rasanya gak bikin mual dan apalagi tersedia varian rasa ada cokelat, Jeruk, dan Strowberi"
33,"Hai Bunda Anna Chyie Cutez, terima kasih untuk kepercayaan Bunda menggunakan produk SGM. Slaam hangat untuk keluarga ya "
34,"Rasanya yg enak, Anak2 suka, Varian nya banyak dan yg pling penting harga terjangkau LOVE SGM"
35,"Hai Bunda Jasmine Comel, ASI adalah yang terbaik. Bila karena kondisi medis tertentu Bunda belum dapat memberikan ASI maka pemberian susu sebaiknya sesuai rekomendasi dokter. PT. Sarihusada mendukung pemberian ASI eksklusif sampai si Kecil berusia 6 bu… Lihat selengkapnya"
36,Anak2 saya suka susu sgm harganya juga ekonomis
37,karna minum susu SGM.anak saya makin super aktif.supel.cerdas.pintar.bisa bersosialisasi dgn temannya.
38,"Rasanya enakk, saya suka. Tidak amiss "
39,hrgx terjangkau dan rasax enak
40,"Hai Bunda Ariana Adelia, terima kasih sudah percaya menggunakan produk SGM untuk mendampingi nutrisi Bunda selama kehamilan. Semoga kehamilan Bunda sehat selalu "
41,"enak..egk bikin mual..rasanya seger.. banyak farian rasa buah ada jg rasa coklat..bagi saya pribadi krna kehamilan ke2 ini bner"" parah mualnya,gk perlu khawatir biarpun saya gk bsa sarapan nasi saya cukup minum susu SGM BUNDA.."
42,rasanya enak dan komplit untuk hamil dan menyusui
43,Sangat membantu saya suka rasa coklat
44,"Hai Bunda Nodesty Waruwu, terima kasih untuk kepercayaan Bunda menggunakan produk SGM untuk si Kecil. Salam hangat untuk si Kecil ya "
45,"Semenjak Anak saya minum susu SGM rasa Madu, anak saya mulai aktif, tambah pintar dan  banyak ide-ide serta berat badan anak saya bertambah terus. Anak saya juga sangat suka sama susu Nya. Terimakasih SGM..."
46,banyak promosinya lalu ada kemasan kotaknya juga
47,"sangat baik , saya ingin menceritakan pengalaman anak saya . anak saya selama minum SGM jd selalu aktif dan banyak tingkah , kreatif dan pintar.."
48,Harganya masih terjangkau
49,Anak saya cocok minum susu SGM dan harganya juga cocok untuk kantong.
50,susu sgm bunda yang rasa coklat enak tidak membosankan
51,"susu nya yg rasa nya enak, harga terjangkau dan nutrisi yg tepat untuk calon baby."
52,enak susunya banyak variannya
53,"Rasa sangat cocok dengan saya, sama sekali tidak mual saat saya konsumsi"
54,Dr sekian susu hanya SGM Bunda yg serasi tuk anak saya. Bagus dan ekonomis
55,Enak.. harga terjangkau...
56,enakk bangettlove it sgm
57,suka banget sama rasanya enk tdk bikin bosann
58,susu sgm bunda memiliki keunggulan bisa diminum dengan menggunakan air dingin solusi bagi bunda yang sedang hamil yang menginginkan minum susu dengan menyenangkan
59,ya karena sgm bunda sangat bagus untuk ibu hamil dan menyusui
60,KAMI PERCAYA SAMA SUSU SGM. WALAU HARGANYA MURAH TETAPI KUALITAS TIDAK MURAHAN. POKOKNYA MATAP DAH SGM DAN TETAP JAYA SELALU
61,Susu yang sangat bagus untuk anak seluruh indonesia
62,"susu sgm bunda memang sangat cocok, dari kecil emang minum sgm pas hamil pun minum dede diperut gin suka  rasanya pun enak .."
63,Terima kasih sudah share Bunda Siti. Semoga perencanaan kehamilannya berjalan dengan lancar ya 
64,susu SGM khusus ibu hamil rasanya enak dan harganyapun terjangkau muda2han dapat membantu memberikan nutrisi tambahan buat calon bayi...
65,"susu SGM bunda coklat enak, gak bikin mual cocok banget minum SGM bunda"
66,susu sgm varian rasax banyak
67,susu sgm bunda yg rasa strowberi saya sangat suka
68,Rasanya nikmat banget..  Anak dan ibu sama2 minum SGM
69,"Hai Bunda Tiwi Kartika, terima kasih sudah share dan sudah mempercayakan susu SGM Bunda Hamil dan Menyusui ya. Salam hangat untuk keluarga di rumah semoga selalu sehat "
70,"Sehari cukup sekali dan dpt memenuhi kebutuhan nutrisi ibu hamil dan menyusui, ditambah lagi rasanya yang enak ga bikin enek"
71,"informasi kesehatan, cara merawat buah hati"
72,rasa nya enak dan gk bkin mual...
73,susu sgm memang mantap mantap
74,sgm bunda memang enak n hrga ekonomis.....
75,"Hai Ibu Marta Noviyanti, apabila Bunda saat ini dalam perencaan kehamilan, ada beberapa tips perencanaan kehamilan yang dapat Bunda lakukan seperti:"
76,pengen subur pengen punya ank secepatnya hard normal lagi seperti dulu tidak ad apa 2 rahimnya kandungannya seht jg melahirkan lebih mudah
77,"Susu SGM sangat merekomendasikan kan banget bunda,coz anak saya dari kecil sampai sekarang masih minum susu SGM, berat badan anak saya Alhamdulillah gemuk."
78,"Hai Bunda Sofie Thea, terima kasih untuk kepercayaan Bunda menggunakan produk SGM Bunda untuk melengkapi nutrisi harian selama hamil. Semoga Bunda sehat selalu ya "
79,suka sama sgm yg rasa coklat hamil ke 2 minum sgm lg 
80,Rasanya enak.. Dan gabikin mual.. Saya suka rasa coklat ... ��
81,ya saya sangat menyukai susu sgm bunda..yg rs coklat
82,Aamiin
83,"Berhubung aku lagi hamil,  tiap hari aku rutin minum SGM Bunda,  semua rasa aku udah coba,  rasanya enak,  ga bikin mual,  harga nya juga terjangkau,  selain itu baik untuk kesehatan dan tumbuh kembang janin yang ada di perut aku..  cinta deh sama SGM Bunda "
84,"Susu coklatnya uenak tp mungkin karena emg ga suka untuk rasa buahnya kurang. So far cocok, tetep bisa diminum kok ga menyebabkan muntah setelah minum susunya. Minum sampai titik susu penghabisan. Anjuran minumnya pun hanya sekali tidak bikin pusing kepala. Dr awal hamil langsung coba SGM bunda. Hehehe"
85,"harga susu terjangkau,  rasa.a enak anak2 suka..  dan anak-anak gk alergi am ni susu,  buat anak tmbh aktif dan sll ad ajj akal.a"
86,harga nya terjangkauanak juga suka
87,"Saya mulai minum sgm bunda semenjak menyusui rasany enak,beda dgn susu menyusui yg lain tdk bikin mual.hargany pun terjangkau tp yg pling penting adalah mudah didapatkan di minimarket manapun.."
88,"SGM jaman saya muda dipandang sebelah mata oleh byk org. Karena harganya miring dan merk nya kurang keren. Tapi saya tetap memberikannya pd anak saya. Selain harganya bersahabat, mutunyapun tdk diragukan.Sdh berpuluh tahun pabriknya tetap berdiri. Dan saya tentu sering melewatinya ketika sdg pulang kampung ke Yogyakarta, SGM Selalu Gaya & Maju. Yuhuiiii...."
89,bagus untuk memperlancar asi
90,Susu SGM bunda sangat enak beda banget dengan susu yg lain tidak nuek rasa nya enak bgt saya yg LG hamil suka banget pa lagi minumnya cukup 1 kali dalam sehari mantan mantap mantap deh
91,minum selalu SGM. Rasakan manfaatnya bg pertumbuhn si buah hati
92,"harga ekonomis,rasany ada buah yg gg bkin enek klo minum susu hamil"
93,"Rasanya enak, ga enek. Apalagi ada varian rasanya selain coklat. Udah dapat bonus juga ��."
94,Susu SGM bunda memang bikin ketagihan dengan rasa nya yg manis & ga bikin enek��
95,Anak sya suka sekali dengan susu sgm.
96,Susu yang enak dan Terjangkau semua kalangan.. �
97,kandungan nutrisi di dalam susu sgm bunda lebih lengkap
98,"Susu SGM mang enak banget,q suka rasanyaPokonya bikin bumil ketagihan sm Rasany����"
99,"awal ny enek minum susu SGM rasa coklat.. tp kmarin pas cobain rasa strawberry trnyata enak bgt, lbih enak dr susu yg laen.. dan akhirny stiap hari minum susu ny SGM rasa strawberry .."
100,"Kesan pertama minum susu SGM Bunda tuh ,enakk dan gak bikin enek.. d tmbah harga yg terjangkau the best dehh"
101,Aku suka banget sama rasa coklat dari hamil pertama mpe hamil kedua aku selalu minum sgm bunda�
102,Setelah coba semua susu hamil ternyata jatuh hati sama sgm rasa coklat..bau zat besintdk menyengat dan mual stlh minumnya��
103,"selain harganya terjangkau,mudah d cari d mna saja mau d swalayan,ataupun mini market dan juga banyak variant rasa."
104,SGM bunda Rasa nya yang enak (lebih suka strawberry)dan cocok buat saya yang memang agak malas minum susu karena hanya 1 gelas 1 hari..� dan bisa pakai es batu lagi.kandungan susunya juga sangat bagus buat pertumbuhan janin.anak pertama saya sekarang berumur 5th 3bln dr bayi sampai sekarang masih minum susu SGM.
105,Dari sekian banyak susu hamil paling cocok sma sgm bunda... Rasanya enak gg amis... Gg bkin mual juga... Rasa jerukk segarrrr ���
106,Banyak pengetahuan dan ilmu yang didapat...
107,"Ini awal pertama saya kehamilan, mual muntah tidak mau makan minum hampir 1 bulan, segala merk susu pernah di coba dan rasanya bikin neg, sebagai calon bunda pertama banyak pikiran kemana mana gimana dengan nutrisi anak saya? gimana tumbuh kembang anak? dan akhirnya teman kantor saya menyarankan untuk beli sgm bunda banyak varian rasa. Alhamdulillah sampai sekarang sudah memasuki usia 5 bln rutin minum sgm bunda. Paling favorit sih rasa strawberry."
108,"Rasanya enak, gk bikin ennek, dh yg pasti hrg terjangkau"
109,Suka bgt sama SGM bunda rasa coklat
110,"Hai Bunda Andreas Saksono, terima kasih untuk kepercayaan menggunakan produk SGM. Semoga si Kecil sehat selalu dan semakin pintar "
111,kandungan nutrisi & vitaminnya komplit yg dibutuhkan anak
112,Rasa enak di mulut apa lagi rasa stowbery bikin seger
113,Assalamualaikum bunda saya baru hamil 5 week dan mual dan sekarang saya udah minum susu sgm bunda rasa stroberi dan rasa nya enak saya suka di minum pakai es karna mengurangi rasa mual
114,Saya waktu hamil pakai sgm bunda cocok. Dan suka sgm susuny enak ad aneka rasa buah buah  kbutulan sat ini saya minum sgm bunda rasa strawbery.
115,Saya sangat menyukai SGM bunda ....
116,Susu sgm bunda memang enaaaakkk sekali
117,Awalnya saya minum sumil dr produk lain rasa cokelat. Tp setelah tau sgm bunda ada rada stroberi saya langsung ngiler mau coba sekalian juga beli 2 sama yg rasa cokelat. Sgm bunda rasa cokelat dan stroberi enak bgt. Kayaknya bakal pindah ke SGM bunda sampai dedenya launching. Favoritku rasa cokelat. Enakkkk bgt
118,anakku suka sekali dgn susu SGM...  dan buat anakku gendut banget
119,"Rasanya enak, penuh nutrisi.."
120,"Harga terjangkau,, dan anak saya dari awal udah cocok.. Gak mau ganti yg lain "
121,Karna susu SGM bunda nutrisi yg di berikan  sangat baik untuk ibu hamil dan si bayi yg di dalam kandungan si ibu .  Dan saya pun merasakan nya...  Trimakasih SGM....
122,Andai gak begitu amis pasti lebih enak.............
123,"ibu hamil itu sangat penting mendapatkan nutrisi yg cukup untuk perkembangan tumbuh kembang janin makanya ibu hamil perlu asupan yg bervariasi dan bergizi sesuai kebutuhan bunda dan janin,  agar kebutuhan gizi tercukupi selain asupan yg bergizi penting juga ditambah susu khusus untuk ibu hamil #SGMBunda#NutrisiLezatBundaSehat"
124,Baru nyoba yg stroberi td pagi enaakk..mulut dan perut jg tidak menolakk.. ��
125,Sya sangat menyukai GSM coklat krna bkin sya gx lemes saat beraktifitas
