index,Review
1,"I was totally broken when the love of my life left me it was so hard for me l almost gave up if not for a friend who directed me to a very good and powerful man called Dr clement who helped me bring back the love of my life and now  he treats me with so much love and care I don't know what problems you are passing through but with what he did for me I know he can help you, https://wa.me/message/HIVAA3NK7MGDC1Do not hesitate to get in touch with him if you need his helper?W… Lihat selengkapnya"
2,Saya coba isi yg sampel tp kok tanggal lahirnya gak bisa?
3,"saya senang sekali semenjak anak no 2 sy konsumsi s26 selera makannya pelan2 semakin kuat. bukan untuk masalah cerdasnya,  sebab dia sudah unggul,  namun untuk nutrisi dia kurang makan, seenak apapun makanan dia tidak selera, namun setelah s26 dia minum 3 kali sehari sudah selama 1bulan ini,  BB naik 3kg . terima kasih s26 promise Gold "
4,"Hai teman wyethers, saya sangat merekomendasikan susu ini, karena ketika saya seharusnya memberikan ASI pertama saya untuk anakku, ternyata sangat di sayangkan saya belum bisa memberikan nya, lalu dengan penuh keyakinan susu s-26 lah sebagai pengganti ASI, dan bersyukur anak saya cocok, dan mau minum. walaupun saya sangat kecewa pd diri saya sebagai IBU, tapi semua tidak berjalan dengan mulus sesuai dengan yang kita harapkan. Apalagi ASI saya tidak terlalu lancar Jaya, hanya… Lihat selengkapnya"
5,susu s26 ini memang memiliki gizi yg lengkap dan rasanya disukai banyak anak2 karena enak
6,nutrisinya sangat lengkap... sesuai dengan kebutuhan anak.. dan kata dokter s26 susu yg paling gurih
7,susunya sangat disukai anak anak saya..sejak lahir sampai SD saya selalu memberikan s26
8,tlah menipuuu dlm reward programnya!!! managementnya tdk bisa menghitungg sendok takarnya !!!! sgtt kecewaaa!!!
9,Susu yg mendukung Tumbuh kembang si Kecil.Kandungan gizinya yang sangat lengkap.
10,"lepas asi 6 bulan anak saya sudah mengkonsumsi s26 ,saya liat dari kandungan didalam nya semua bagus, dan sampai kini usianya jalan 19bulan sangat cocok dengan s26 sebulan bisa menghabiskan1,4kg(2dus), dan terlihat dari aktifnya beraktifitas, serta cara tangkap nya luar biasa, tidak siasia ,harga menentukan kualitas, semoga rezeki kami selalu ada untuk memberikan sufor s26 bagi anak saya."
11,Nutrisinya lengkap dan cocok untuk anakku...hanya saja harganya lumayan tinggi 
12,susu mendukung tumbuh kembang si kecil dan nutrisinya sangat lengkap
13,Nutrisinya sangat lengkap sesuai dengan kebutuhan anak dan rasanya yang gurih sangat disukai anak.... Paket komplit pokoknya 
14,Nutrisinya sangat lengkap untuk pertumbuhan dan perkembangan anak dan sangat disukai anak saya bahkan susah untuk beralih ke produk lain #Hebatnya beda
15,Ibu pake yg biasa apa yg gold?
16,S26 memank bagus utk anakku di usia hampir mw 6bulan ni krna semenjak anakku minum susu s26 anakku aktif bgt ga gampang skit body nya keras dan lincah smoga s26 slalu memberikan terbaik utk kalangan usia anak2
17,Rasanya sangat disukai anak anak dengan Nutrisi Complete untuk tumbuh kembang anak...
18,"Nutrisinya lengkap,kadar gula dalam susu rendah,rasa disenangi bayi,dan kemasan tersedia dalam berbagai ukuran berat..."
19,Dedek udah besar nie
20,"Rasanya enak,beda dg susu lainnya dan kandungan gizinya jg banyak"
