index,Review,Sentiment
1,jagoanku muhammad dzakwan al fattah 2 3 th menkonsumsi morinaga mulai dr bmt platinum smpai skrg chil kid alhamdulillah sehat dan tidak pernah mengeluhkan masalah pencernaan alahmdulillah tumbuh kembangnya jg sang at baik aktif dan cerdas trimakasih morinaga ,positive
2,sgm bunda membantu tumbuh kembang si kecil sebagai asupan nutri selang asi ,positive
3,renyah enak banget cocok untuk santai,positive
4,sejak disapih pd umur 1 thn sgala macam susu di coba tp akhirnya akhdan cuma suka chilkid platinum rasa vanilla ,positive
5,saya sudah coba dan merasakan semua mie instant cuma yaa tetep aja saya dan keluarga maunya indomie dan indomie lagi kalau yang lain mereka makan cuma sebungkus kalau indomie bisa masak berkali2 sih karena pingin nambah dan nambah terus ,positive
6,saya suka produk nya konsumen srg dtlp utk mengetahui perkembangan buah hati istilahnya maintenance customer biar ga lari produk sejenis tapi respons whatsapp sangat lambat ,positive
7,susu prenagen selalu menemaniku selama program hamil sampai sekarang menyusui terima kasih pw,positive
8,jujur pertama mengenal kopi ya kapal api karna memang di awali oleh bapak saya yang fanatik sm kopi kapal api brpa saya mencoba kopi jenis yg lain tp kenikmatan tidak saya temukan memang lidah tidak bisa berbohong hanya di kopi kapal api saya menemukan kenikmatan ,positive
9,saya suka susu sgm bunda,positive
10,saya sanggat suka nabati rasanya enak sekali ,positive
11,sebelum menikah saya sering membuat kopi kapal api untuk bapak saya setelah sesudah menikah suami ku pun begitu suka minum kopi kapal api rasanya nikmat ,positive
12,rasa mie gorengnya luar biasa sedap ,positive
13, anak generasi platinum sang juara ,positive
14,nabati memang enak semua keluarga suka nabati ,positive
15,rasanya gurih cocok untuk cemilan kapan saja,positive
16,platinum emang the best buat pertumbuhan si kembar yg mkin aktif lincah cerdas ,positive
17,bunda dan pw anakku 4m7d apa saja yg seharusnya sudah bisa di lakukan oleh bayi berumur 4 bulan ,positive
18,rasanya enak dan sehat untuk para bunda,positive
19,min kira² milo goreng enak ngga ,negative
20,thanks ,positive
21,setiap hari selalu minum kopi kapal api ,positive
22,hi wow jadikan selalu nabati meriah sebagai camilan kamu dan keluarga ya ,positive
23,try 1 month without indomie will feel lonely ,positive
24,anak saya dari umur 6 bulan pakai procal gold sampai skrg,positive
25,kembalikan indomie goreng sate,positive
26,pagi bu saya mau tany anak saya skarang sudah berumur 4th dulu saya pernah memakai kb tpi sudah15 bulan saya berhenti tapi ko susah buat hamil lagi apa masih ada pengaruh obat dari kb tersebut dan apabila masih ada pengaruh obat bagaimana cara menghilangkannya ,negative
27,saya pedagang kecil menjual macam macam nabati rasa enak dan harga terjangkau juga nabati ini juga banyak digemari semua orang utungnya banyak banget beda sama merek lain,positive
28,saya mah tidak pernah makankarna mahal,negative
29,saya suka nabati rasa pink lava,positive
30,enak rasanya kejunya renyah emang tiada tanding terdebes pokoknya,positive
31,and dos dos dos dodol jaka gundul,positive
32,min kenapa ongkir di shopee mahal amat tolong turunin ongkir nya dong min ,negative
33,awalnya mnm susu hamil tp malah awet 1bln ga mnm skrg br nyoba sgm cklt waw enak banget trs minumnya cmn 1hr sekali dan bs buat pk es batu jd tiaphri aku bikin sgm ibu hamil pake es jd ga bikin mual lg ,positive
34,saya ada sedikit cerita nich ,positive
35,suka banget sma wafer nabati semua macamnya anak anakku suka,positive
36,morinaga platinum sangat baik buat pertumbuhan anak dan sangat bagus buat kecerdasan anak saya tlah menjadi kan mp tersebut sebagai pengganti asi ibuuuuu ,positive
37,pw anaku usianya satu bulan lg pilek klo pun di ksih obat obatnya ap ksian nafasnya susah ,negative
38,sehatnya dapet pinternya dapet hadiahnya dapet,positive
39,nabati ini sangat bagus di komsumsi anak anak dan orang dewasa ,positive
40,tahun kemarin saya ikut undian kopi kapal api tapi kirimnya tidak melalui kantor pos saya kirimkan melalui kotak undian yang da ditoko yg dah ditunjuk oleh kopi kapal api apa itu resmi benar bs diikutkan dlm undian mhn konfirmnya min thx b4 ,positive
41,pintar nya beda utk anak2 ,positive
42,terima ksih sgm bunda udh hadir daerah kami sya sgt mnyukai ya ,positive
43,buat adm morinaga saya mau tanya untuk susu child school vanila kok stoknya ngakk ada ya sudah 2 bulan loh saya sdh cari kemana2 di supermarket batam kosong semua kira2 kapannya susu nya ada tolong di info kannya adm terima kasih,positive
44,lebih baik produk yang lain dari ini,negative
45,ank morinaga sehat pintar trz aktif gk prnh sakit mksh morinaga platinum,positive
46,ketika abu vulkanik menutupi semuanya hanya indomie iga penyet yang dapat mendekatkan saya dan dia,positive
47,setelah lepas asi anak sy dua2nya pake s26 procal dan procal gold susu yg recomemded bgt buat memacu kecerdasan otak anak gk bkin gemuk2 bgt krna gk bnyak gula suka bgt deh sama susu ini ,positive
48,cemilan wajib ya fitbar,negative
49,indomie selerakuuuuu,positive
50,sounds of cantata music school 021 58900691 adalah sekolah musik yang menawarkan pendidikan musik secara holistik kepada anak anak dari umur 3 tahun ke atas kami memiliki guru guru bersertifikasi internasional dan fasilitas yang sangat nyaman ,positive
51, jelekkkkkkk,negative
52,aku suka sekali nabati ,positive
53,terlalu asin,negative
54,rasanya enaaak sekali ga bikin gemuk,positive
55,yerima kasih diabetasol menjadi solusi hidup sehat keluarga kami ,positive
56,indomie goreng selalu jadi favorit saya yummy makannya pake cabe rawit merah nyaamm nyaammm,positive
57,program tukar poin sekarang agak ribet ya chat wa lama sekali respon ny mana sudah mepet waktu penukaran ny kan ketar ketir kalo poin segitu byk hangus mending seperti 2th yll tukar poin kecil buat anak sekalian kenang an ada lebel s26 kan lucu trimakasih admin ,negative
58,sy beli morinaga bmt tgl 28 5 2015 di indomaret taman palem dgn kode bacth 14u0201ka3 tgl exp date 8 jan 2016 pada saat di buka ada 4 butir kotoran hitam didlm susunya kemudian di ganti dengan yang baru dgn susu kode bacth 14y1601ka2 dan exp date 20 mei 2016 tetapi tetap saja masih ada ada kotorannya sebaiknya para ibu yg pakai susu bmt pada saat menuang susu ke tempat toples di lihat apakah didlm susu ada butiran kotoran di dlm produk susu tersebut karena kita lihat selengkapnya,negative
59,kopi paling enak dan paling pas ,positive
60,saya setiap hari membeli nabati rasa keju karana saya ingin mendapatkan hadiah hp aminn tolong berikan saya hp ya plisssss,positive
61, anak generasi platinum sang juara anak adalah anugrah terindah dari allah hadiah yang paling istimewa dari allah as good mother morinaga is the best choice morinaga adalah jawabannya untuk perkembangan si kecil tidak ada keraguan sedikitpun dari awal memberikan produk susu terbaik ini kepada si kecil dan alhamdulillah si kecil tumbuh besar bersama morinaga sekarang si kecil sudah 1 tahun 3 bulan saya sangat puas dengan perkembangan si kecil aktif lincah dan sek lihat selengkapnya,positive
62, bauuuu,negative
63,luar biasa gurih gurih enyoooyy,positive
64,anak saya mulai minum susu s26 sejak usia 6 bulan pertama tama saya sempat bingung mau kasi supor apa setelah baca2 mengenai produk s26 saya tertarik krn kandungan gizi di dlm susu cukup lengkap dan alhamdulillah sampai saat ini usia anak saya sudah 2 thn 3 bulan tetap konsumsi supor s26 terimakasih s26,positive
65,anak saya langsung sakit abis makan ini,negative
66,nabati itu sangat enak sekali ,positive
67, ga sesuai komposisi dengan ril produknya jelekk,negative
68,kalau bisa rasanya lebih tidak terlalu manis,negative
69,aku dan anak suka keju sehari bisa beli 3 atau 4 nabati udah gituh harga nya murah,positive
70,rasanya yg super enak nutrisi bagus dan hargapun terjangkau,positive
71,mantaap bingiiit mak nyuuzzzzz,positive
72,bunda gmn caranya dpt hadiah promo chil kid soya nyaabis tingga di daerah jd hadiah promonya jg jarang bgtmkshsoalnya anakku dah make morinaga dari udia 7 bl sampe skrg mau 22bln,negative
73,pengen samplenya buat si kecil,positive
74,nikmat mantappp ,positive
75,udah dpt redemption code nimori9441244934579068,positive
76,kata anakku enak apa bner susnya warna agak kuning ya baru nyoba,positive
77,kualitas susu bagus banget,positive
78,dari zaman kakek sampai cucunya saya sekarang kopi kapal api tak tergantikan mantaaaap abiiiiz,positive
79,bos kalau saya dapat dalam bungkusan kapal api boss apa bisah di tukar dengan hadianya ,positive
80,produk yang bagus untuk penderita diabetes kolesterol dan jantung ,positive
81,sejak umur 4 bulan anakku kuberi susu morinaga platinum alhamdulillah lgs cocok senang melihatnya ,positive
82,raisya itu sapaan setiap hari anak yang aktif tanpa kenal lelah smart mempunyai rasa ingin tau yang tinggi saya memang ingin dia tumbuh menjadi anak generasi platinum sang juara yang selalu buat bangga kedua orang tua berguna bagi nusa bangsa dan agama aminnnntrimakasih morinaga,positive
83,enak dan lezat bisa dimakan di mana aja,positive
84,alhamdulillah diabetasol sudah membuat hubungan saya dan ibu mertua semakin erat karena semenjak mendetita diabets saya dan suami selalu memberikan beliau diabetasol ,positive
85, anak generasi platinum sang juara tumbuh sehat smart dan penuh kreatifitas adalah harapan dari setiap ibu untuk anaknya semenjak mengkonsumsi sufor morinaga platinum dari anakkku berusia 1 bulan sampai sekarang sudah mau 3 tahun tepatnya 25 mei 2014 anakku steward faitly tetap setia mengkonsumsi sufor produk morinaga platinum kenapa saya sebagai seorang ibu benar mengakui kwalitas dari susu ini dimana steward anakku bisa dibilang hampir tidak pernah sakit karena kand lihat selengkapnya,positive
86,saya percayakan susu pertumbuhan anak saya niseen mazaya pada rangkaian produk morinaga sejak baru lahir hingga usia 1 tahun sekarang dan terbukti perkembangan otaknya menjadi optimal serta daya tahan tubuhnya kuat sehingga tidak mudah sakit trimakasih morinaga ,positive
87,thanks morinaga dua jagoanku marvelle 5y dan kenneth 8m tumbuh sehat dan pintar berkat morinaga platinum love it ,positive
88,indomie selera turun temurun yg tak tergantikan ,positive
89,ramainya event morinaga di e_walk balikpapan jardheena jg dapat sepeda lho kami kasi nama sedamoku alias sepeda dari morinagaku kalau flash back sebenarnya saya adalah ibu yg pro asi tapi kenyataan berkatan lain di usia jardheena 3 bulan asi saya mulai mengering sehingga mau tdk mau saya hrs menambahi dgn sufor saya memilih bmt platinum di lanjut chil mil platinum dan skrg chilkid platinum kalau berbicara mslh daya tahan tubuh saya tidak meragukan lagi di kondisi kam lihat selengkapnya,positive
90,hari ini bli susu morinaga platinum rencana mau bli 10 kaleng biar dpt sofa nya tapi dah ada promo hadiah sofa nya akhirnya beli 2 kaleng promo dpt tas tapi malah di kasi kan tas nya posisi sdh sampe rumah baru sadar ,negative
