index,Review
1,baik produknya dan bermanfaat bagi para orangtua
2,produk berkualitas dengan kadar gula yang pas
3,Sangat membantu bagi para penderita diabetes tanpa takut gula darah tinggi
4,"Saya ingin membeli dalam jumlah banyak, tolong minta kontak pengiklan yang menjualnya"
5,"Diabetasol sangat cocok untuk kita semua, bukan hanya untuk penderita diabetes. Kita harus membiasakan hidup sehat sejak masih muda agar di hari tua nanti bisa menikmati hidup tanpa sakit sakitan. Biasakan konsumsi gula yang aman yaitu gula diabetasol. Gula ini sangat baik untuk kita semua. Ngeteh dan ngopi tidak ada masalah dengan diabetasol. Yuk biasakan hidup sehat dari sekarang."
6,"Walaupun lagi diet ketat, makan manis gak masalah karena aku pake gula sehat Diabetasol ���"
7,Saya suka sekali gula rendah lemak aman dikonsumsi
8,"Diabetasol Nol Kalori Gula, pengganti gula pasir biasa memang sangat membantu dalam menjaga kadar gula darah sy menjadi stabil.. Diabetasol Snack Bar jg nikmat rasanya dan sangat menyehatkan buat tubuh kita..Cobalah dulur semua..Rasakan bedanya.."
9,Sangat bagus produknya ...
10,Di zaman sekarang ini kita wajib memilih yang sehat-sehat dan pilihan bijak dan paling tepat ya selalu konsumsi diabetasol yang sudah terjamin kualitas dan mutunya
11,"Diabetasol sangat baik dikonsumsi oleh penderita Diabetes,  mengandung serat dan tinggi kalsium, dan menjaga kadar gula darahYuk jaga gula darah dengan Konsumsi Diabetasol"
12,Cocok sama obatnya manjur markotop
13,sangat bermanfaat info dari page diabetasol dan bisa menjadi tips untuk yang sedang menjaga gula darah
14,Diabetasol adalah susu sehat yg bisa mengontrol gula darah kita tidak hanya itu susu diabetasol untuk kesehatan dan dan kecantikan kita lho
15,"Setiap sakit pasti ada obatnya, mencegah lebih baik daripada mengobati. Yu hidup sehat bersama @Diabetasol..."
16,"Diabetasol memiliki manfaat penting yaitu membantu menjaga kadar gula dalam darah. Sedini mungkin, konsumsilah susu seperti susu Diabetasol ya guys, hal ini merupakan langkah cerdas untuk menekan risiko penyakit diabetes usia dini"
17,"Diabetasol solusi diabetes, lebih baik mencegah daripada mengobati"
18,"memang kami pasangan yg masih muda, tapi sejak sebelum menikah, kami sudah aware sama yang namanya makanan, khususnya gula,, karena beberapa anggota keluarga sudah terkena diabetes. apalagi mengingat anak2 yang masih kecil2. adanya produk Diabetasol, sangat membantu sekali. mengkonsumsi ini diabetasol gk bikin takut kadar gula tinggi, tks Diabetasol "
19,Tetap sehat walau mengkomsumsi manis ganti gula anda dengan Diabetasol.
20,Terbukti sgt bermanfaat untuk penderita Diabetes harganyapun terjangkau
21,Diabetasol mengandung serat alami dan cocok sekali di konsumsi oleh penderita diabetes
22,DIABETASOL baik sekali di minum untuk penderita diabetes. Membantu mengontrol gula darah dan nutrisi di dalam nya sangat di butuhkan oleh tubuh.
23,"Sejak memakai diabetasol, selain rasanya enak dan bergizi, gula darah saya stabil terus. Produk berkualitas dan sangat membantu para penderita diabetes.#IndonesiaLawanDiabetes"
24,Nutrisi bergizi untuk Diabetes sukses terus
25,Diabetasol membantu mencegah adanya diabetes. mulai mengganti gula biasa dengan diabetasol supaya sehat dan terhindar dari kegemukan.
26,"Setelah didiagnosis nenek menderita diabetes,kami beralih mengkonsumsi gula diabetasol dan susu diabetasol vanilla untuk nenek."
27,"Diabetasol sangat baik dikonsumsi oleh penderita Diabetes, mengandung serat dan tinggi kalsium, saya sdh melihat manfaatnya, selama 26 th ibu mertua sakit diabetes s.d sekarang sehat dan terjaga kadar gulanya... semoga pengalaman saya dapat menjadi inspirasi utk mengkonsumsi Diabetasol. �"
28,"Diabetasol memang sudah jadi sahabat keluarga ku dalam menjaga kesehatan, terima kasih diabetasol"
29,DIABETASOL...best of the best�
30,"Saya sudah mengkonsumsi Diabetasol selama 4 tahun namun saya tidak tau cara minum diabetasiol ts harus sendiri kah ? Maksudnya selamam ini saya minum/makan Diabetasol bersama sama dengan Roti dan kuee lainnya, Mohon info cara makan/minum yang benar ??"
31,Diabetasol sangat penting sekali kita jadi punya info tentang penyakit tekanan gula darah
32,"I love Diabetasol, selalu konsumsi diabetasol untuk menjaga kadar gula."
33,mantab susunya
34,produk yg sangat membantu bagi para penderita diabetes
35,Karna diabetasol bisa membuat kehidupan saya lebih sehat dan indah
36,"Diabetasol sangat cocok buat orng penderita diabetic,jd gak usa pusing lg mau makan nasi ada beras merah,mau gula ada gula diabetasol,mau susunya juga ada, pokoknya di diabetasol lengkap semuanya buat orng diabetic..tetap trus maju buat diabetasol"
37,Produk berkualitas untuk penderita diabetes.
38,Diabetasol solusi bagi yang ngopi sehat..seperti saya yang sering minum kopi.
39,"gula tuk bapak kami di rumah,pas bgt manis nya"
40,Diabetasol pilihan pintar untuk mencegah/menggurangi diabetes.
41,diabetasol sangatbaik untuk diet dengan berkurangnya gula darah pada tubuh. membantu mencegah diabetes. tubuh jadi fit
42,Solusi bijak dalam hidup sehat
43,yuk like fanpage diabetasol banyaj info menarik dan bermanfaat lo
44,"Produk yang bagus untuk penderita diabetes,Kolesterol dan Jantung.."
45,Alhamdulillah Diabetasol sudah membuat hubungan saya dan ibu mertua semakin erat karena semenjak mendetita diabets saya dan suami selalu memberikan beliau Diabetasol �
46,mengkonsumsi diabetasol membuat kita segera terhindar dari penyakit yang mengerikan.
47,"Menghidarkanku dari khawatir tentang penyakit populer, diabetes. Terima kasih"
48,Susu yg membantu penderita diabetes secara optimal
49,Minggu lalu saya mampir ke Carrefour di PVJ Bandung dan menanyakan hadiah Lock and Lock container bila saya membeli 2 dus Diabetasol. Saya menanyakan apakah masih ada persediaan hadiah tersebut. Saya memberikan nama dan nomor hp saya.Sungguh mengecewakan sekali SPG Diabetasol baru memberi jawaban SATU MINGGU setelah enquiry saya dan jawabannya sudah habis.So pasti habis karena promo tersebut selesai tgl 15 Sep. Jawaban lewat SMS baru datang tgl 19 Sep sedangkan saya tanya t… Lihat selengkapnya
50,produk bagus dari KALBE untuk penderita diabet..
51,lom pernah coba tp pernah baca2 dikemasannya bgs juga manfaatnya
52,Diabetasol produk yg sehat dan buat kesehatan keluargaku terjaga
53,Diabetasol menjaga ku sampai tua
54,Cocok banget nih buat ortu akuu
55,"Bgs bgt tuk penderita diabetes, kolesterol, jantung �"
56,Inilah aktifitasku rutinan setiap hari minggu. Olahraga ini aku lakukan untuk melawan bibit penyakit yang mencoba menyerang tubuhku salah satunya diabetes . Untuk itu marilah kita cegah bersama dengan @Diabetasol . #IndonesiaLawanDiabetes . Ikutan yuk  dan like juga ya 
57,yerima kasih diabetasol menjadi solusi hidup sehat keluarga kami.
58,Hidup sehat jangan ditunda
59,Saya menggunakan diabetasol....untk kesehatan.
60,Belum prnah coba....
61,Ku bru mncoba klo ada perubhn baru comen
62,Bagus.
63,Bagus
