index,Review
1,"I'm thankful and honored to drink Dr Oseghale Sunday Cure that cured me totally from Hsv2 I appreciate your every effort, thank you for your precious time,if anyone here is looking for a cure from Hsv1 and 2 or another type of disease should contact Dr Oseghale Sunday directly;+2347062814871 even his Email is oseghalesunday07@gmail.com https://www.facebook.com/oseghalesunday07"
2,i love your products but unfortunately i found a strand of hair. please improve on hygienic aspect of your product.
3,These are not only healthy and full of protein they are gluten free and actually very tasty!  Both the chocolate peanut butter and cranberry vanilla almond tasted as if I was eating a decadent brownie.  They also kept me full for hours after and I had plenty of energy.  I’m definitely in love and hooked on these.
4,Mantap coklatnya beda ada crispy krenyes krenyesnya��
5,Snack yg  enak bernutrisi dan mengenyangkan yaitu Fitbar bisa di nikmati kapanpun dan di manapun.
6,selain sehat enak dan praktis fitbar juga cocok buat yg lagi diet.
7,stop iklan sangat mengganggu
8,Saya lihat fitbar bagus banget dan saya sangat menyukai fitbar sehat dan bergizi
9,كاتبين انكم فاتحين لل ١١ على google وانا عشرة ونص ومسكرين والموظفين مو راضيين يتفرجو يحكولك انهم سكرو..
10,Enak sehat mengenyangkan...
11,"aku suka banget liat fanpage Fitbar, kontennya menarik design kontennya fun dan adminnya fast respon "
12,Enak apalagi yg coklat lebih enak 
13,The best rasanya enak 0% kalori
14,Sangat enak dan membantu untuk ngatasin rasa oengen ngemil
15,I love fitbar ... Cemilan sehat ...mantap ...dan rendah kalori.Jd gak merasa bersalah deh kalo ngemil
16,Rasanya sangat enak... Cocok untuk ngemil dan tdk membuat saya gendut
17,Rasanya enak dan biasa.. artinya ga eneg dan berat di mulut.. bener2 pas buat rilex
18,enak banget makanannya ada kayak manis gitu bikin kenyang juga..
19,Makanan bantu died yg cepat nurunin bb ku
20,Fitbar enak rasanya sy suka harganya juga kurang egk mhl
21,"Fitbar Is a bar of chocolate with some mixture of fruit , vegetable that is good for healht."
22,"Cemilan yang selalu dibawa tiap abis nge-gym, enak dan gizinya terjaga!"
23,"No doubt, my husband firstly gave it to me and now I'm addicted with Fitbar "
24,snack tepat bawaan pengen ngemil
25,Situs nya informatif dan banyak tips2
26,"Rasanya mantap,bikin ketagihan.sayangx mahal...."
27,My fav cemilan Rasanya enaaaakk dan menyehatkanCocok buat ganjel perut stelah bangun tidur
28,Fitbar sangat enak dan kami sekeluar menyukainya
29,"doyan banget sama rasa coklatnya, enak banget"
30,Enak bangeet.. Apalagi yang rasa cokelat... Uda enak sehat lagi ...
31,"Rasanya enaaak sekali, ga bikin gemuk"
32,"Enak banget,,, bikin ketagihan"
33,Fitbar rasanya enak bingits$$$##@@@
34,Cemilan yang enak dan mantap...
35,"Fitbar cemilan enak dan sehat, sangat bermanfaat buat cemilan diet dan cemilan anak"
36,"Fitbar coklat enaaaaaak banget ..Ak ngemil terus, dan bikin kepengen ngeemil terus sm fitbar deh"
37,Sangat enak karna aku pernah mencobanya
38,"cemilan enak dan sehat, bikin ketagihan, harganya pun terjangkau"
39,Sehat enak and ngga khawatir bikin gemuk
40,Rasanya yummy  banget... Bikin nagih terus deh Min 
41,"Snacking with no worries yaaa Fitbar lahhhh, rendah kalorii dan bikin sehat tentunya"
42,Fitbar enak creacerr buat yg lg diet cocok skaliMakan 1 bungkus kurang karna rasa n coklat n da yg fruit mantap n bikin kenyang
43,yang buah rasanya unyu
44,"Fitbar coklat rasanya enaakkk banget  Snack bwt diet tp rasanya enak. Ga kayak merk lain,ud mahal+rasanya bikin ga mau makan lagi Top deh Fitbar ^^ "
45,fitbar memang mkanan yg tepat
46,Rasanya enakk
47,lima bintang buat yang rasa coklat *nomnom
48,"Suweerrrr... snack sehat ini enaaakk bgt, lezat,...yummy...Cobain deh! Dijamin ketagihan (bagi yg doyan) hehehe...."
49,Fitbar cokelat lbh mantap 
50,Fitbar memang cemilan yg tdk membuat ku was was untuk menjadi gendut krn nol kalori nya bila tengah malam kelaperan. Thks fitbar 
51,"Fitbar mantap abiz buat bis fitnes,trmksh fitbar"
52,Cemilan wajib dimkan tanpa harus takut gemuk
53,enak bnget fibar...
54,Cemilan Enak yang cocok buat yang lagi diet/lagi menjaga berat badan!
55,Coklat fitbar enak rasanya klo makan coklat fitbar gak takut bikin kita gemuk deh....heheheheh
56,Enak.. pengganti beng-beng untuk yang rasa coklat!
57,"Fitbar enaaak, harganya juga murah. Rasanya bikin ketagihan. Seudahnya makan fitbar jadi lancar buang aer besar "
58,Cemilan yg sehat dan gk bikin gemuk
59,"Cemilan sehat g bikin gemuk, cemilan favorit saya lho "
60,"dua varian pertama, paling suka fruits fitbar.........eee.....beberapa wkt yg lalu ke swalayan kok liat yang coklat.....begitu nyoba, hmmm...... yummyyyy.....jd ga waswas lagi kl pas kepengen makan coklat, sdh ada choc fitbar yang pasti sehat.....thank you....."
61,Suka bgt sm snack satu ni....rasanya enak g bikin ndut...co2k buat y lg diet.....
62,cemilan enak tanpa takut lemak
63,biasa aja .q anggap itu soal sepele. .
64,Enak saya dan keluatga suka fitber.....
65,Cocok banget sama rasanya.. Yummy...
66,Mengesankan dan mengajak pola hidup sehat bagi masyarakat luas....sukses selalu...ya buat fitbarr...
67,Pokoke mantaaap....terasa dmulut
68,Enak tp g bikin ndut..suka bgt
69,Cemilan bgus buat diet
70,Snack sht dan hrga trjangkau.
71,Cemilan yg ga bikin gemuk....Oke bgd kan....thanks fitbar
72,Cemilan wajib ya fitbar
73,Fitbar enk cm bg sy krng sdkt lg lbh pdt agr lbh mngenyangkn....
74,mnyenangkn... mudh d bw kmn .mna..pkokx muantab bngetzz
75,"semuanya yummolicious! favorite aku yg raisin rasberry,Thanks fitbar jd bs nyemil with no worries "
76,Love U Fitbar..Semua rasa Ajiiiiibbbbb..Ga bisa di ungkapkan deh..Pengennya ada Fitbar terus tiap saat..Asal jgn naik harga terus dong..… Lihat selengkapnya
77,Cemilan sehat dan enak
78,Mari minum kofe {good day} bisa membantu anda menghilangkan rasa pahit d lidah anda....¡¡¡¡!!!End makan....makan'an ringan....!!!
79,bagus utk pencernaan
80,"Fitbar tch selain enak,nyaman jug diperut.Pokoknya fitbar dch,,,cemilan pilihanQ."
81,"Cocok yg lagi diet ya,,,:jgn tunda"" lagi"
82,"Awalnya ragu mau coba takut gak enak...makin penasaran pas ada org borong fitbar, ehh bener aja coba 1 balik lg ke minimarket ikutan borong...so yummie gak takut endut ngemil fitbar"
83,Fitbar I like it
84,"Suka,, kndungan gizinx banyak cocok buat yg lagi ngurusin badan"
85,Aku menyukainya....
86,"Enakkkk ga tkut ngemil dech,ok jga buat dietq,mksh fitbar"
87,bagaimana caranya ikut kuis nya ni kenapa tidak dijelaskan ?
88,Nyamiiie bangett..
89,"Enaknya dapet, sehatnya dapet..."
90,CEMILAN MALAM HARI 
91,Ennnnaaaaaak baaaannngeeet lo.
92,Jaga sehatmu sebelum sakitmu
93,Fitbar ok bangt
94,Kapan pun aku lapar . . .Ku makan fitbar . . .Gak bikin badan lebar . . .
95,"Siiiip,,,tmbah wawasan"
96,fitbat terbaik
97,cmilan sehat
98,T.O.P bingiitttssss...
99,"Fitbar.......Enaaaaaakkkkkkkk bngettttttt looooJom cobain dech....,,,,"
100,asyik..
101,Fitbar good
102,
103,Fitbar sgt dbtuhkn.. agar tbuh sht...
104,Sahabat buat hidup sehat!
105,Mau
106,OK
