index,Review
1,"Páni, tvoj príspevok je veľmi dobrý a stojí za prečítanie, prosím chcem byť tvojím priateľom Skúšal som si ťa pridať sem na facebook mnohokrát, ale bez úspechu. Ak vám to nevadí, môžete mi poslať správu alebo poslať žiadosť o priateľstvo na f… Lihat selengkapnya"
2,"wahai indomie goreng kesukaan ku ini curahan hati ku yang selalu kau phpin oleh bumbu""mu,saat aku lapar mau makan indomie goreng dan air nya udah mendidih trus aku cmpulng kan mie nya pas aku lihat,LOH KO BUMBU NYA HILANG BUMBU NYA TIDAK ADA,dan begitu sering aku mndapat yang hoax atau zong kadang minyak nya yg gk ada kadang caos nya yang mngilng entah ke mana saat aku membutuhkan wahai indomie tolong jnggn sprti itu yah aku trllu rapuh untuk di phpin sprti ini tolong tingkat… Lihat selengkapnya"
3,Makanya bang kalo beli di periksa duluBiasa nya barang tsb udah kelamaan di simpan jadi udah mau membusuk/kadaluarsa
4,tadi saya mau masak indomie goreng eh bumbunya sudah kebuka
5,The noodles are delicious and amazing  and our family favourite 
6,"I love Indomie. But today when I opened a pack, I found this. It’s obviously not expired, because the expiry date on the packet says 7 May 2021. Would really appreciate if your company does better QC. This was found in Singapore btw."
7,"Halo, mohon maaf atas ketidaknyamanannya. Mohon kirimkan data diri kamu, kode produksi serta tanggal kadaluarsa dan foto-fotonya dari produk tersebut ke DM kami ya. Terima kasih "
8,tadi saya beli indomie aceh pas dibuka ehh malah kecap Dan minyak udah kebuka tumpah ke mie  Mana tadi pas beli hujan
9,"mie legend,sering bingung mau rasa apa sbb enak semua tapi pernah pas beli isinya cuma mie doang ngga ada bumbunya ,lah hari ini bli mie goreng kecapnya bocor lengket dmana2 ,,semoga kedepannya produk nya lebih bagus lagi.. selalu tetap Indomie yg di hati "
10,semoga versi my noodle balik kalo ga balik aku malesitu kalo ga salah wktu kecil aku suka jadi semoga di kembalikanitu enak bangettt kalo aku di suruh rate sih 4/5 karna versi my noodle di hapuskalo ga salah aku pernah makan yang warna ijo
11,"Páni, tvoj príspevok je veľmi dobrý a stojí za prečítanie, prosím chcem byť tvojím priateľom Skúšal som si ťa pridať sem na facebook mnohokrát, ale bez úspechu. Ak vám to nevadí, môžete mi poslať správu alebo poslať žiadosť o priateľstvo na f… Lihat selengkapnya"
12,Suami saya dr msh kecil makan indomie sampe skrng yg umurnya udh 44th ..karna dia beda sendiri g mau makan Nasi ...alhamdulillah sampe sekarang sehat2 ajah ....
13,saya beli indomie aceh bumbunya gak nutup .. besok lg di tingkatkan kualitas nya ya
14,Rasa mie dan bumbunya tuh paling oke ...sekeluarga suka pk bingits sm km INDOMIE
15,"Páni, tvoj príspevok je veľmi dobrý a stojí za prečítanie, prosím chcem byť tvojím priateľom Skúšal som si ťa pridať sem na facebook mnohokrát, ale bez úspechu. Ak vám to nevadí, môžete mi poslať správu alebo poslať žiadosť o priateľstvo na f… Lihat selengkapnya"
16,"Indomie tolong dong bumbunya jangan dikurangin, rasanya jd ga se enak dulu boleh makin banyak variannya, cuma jgn ngerubah cita rasa dr indomie gorengnya "
17,min kenapa ongkir di Shopee mahal amat. tolong turunin ongkir nya dong min.  ?
18,Enak dan cepat saji untuk yg sibuk
19,Kembalikan indomie goreng sate
20,Legenda Indomie Goreng
21,"Best Instant Noodles...Favorit saya rasa Ayam Bawang, best bgt ini dr dulu.Btw, Min selain Ayam Bawang rasa favorit ane Mie Kocok Bandung, mau tanya aja, rasa Mie Kocok-nya udah discontinue atau gimana ya? Jd jarang ditemui, saya sekarang tinggal di Jakarta."
22,"Mau komplain beberapa x saya beli indomie di warung sering x saya dapati kemasan indomie yg g sempurna misal tidak da bumbu,ato bumbu sudah terbuka didlm yg saya liat karena kesalahan pengemasan ato QCny..mohon lbh diperhatikan lg.."
23,"Di Surabaya, indomie rasa bulgogi dijual dimana ya? Banyak mini market kosong stok"
24,Indomieeee enaknya tiada tandinggg cocok di makan kapan aja dan dimana aja. Suami bule ku jg suka bgt kata dia  sehrrrr Lecker
25,Mie instan terbaik dari yang terbaik.
26,Beli Indomie kaldu ayam masa ga ada minyak nya.ga enak
27,uuuilah enakk
28,Kecewa dlu indomie goreng cakalang pedesnya gk pke nmbah cabai skrng kok jdi gk pedes ya aku nmbah cabai smpe 5 biji loh biar pedes..
29,Paling suka Indomie goreng gak ada yg bisa ngalahin rasa nya �
30,"Mimin kenapa indomie bulgogi susah banget nemuin nya di pasaran?Padahal honestly its the best of the best varian of indomie! Enak bgt, please stock nya dibanyakin trimakasih ��"
31,Indomie itu unik. Apa lagi yang goreng... emmm enak. Tapi indomie yg goreng sambal matah agak keasinan
32,"suka semua rasanya. tapi kok rasa baso sapi sekarang rare banget yah :""( padahal enak banget itu"
33,Legend! Selalu beli varian barunya. Ga ada yang bisa nandingin indomie lah.
34,Thanks indomie karna sudah keluarin varian real meatdari seluruh indomie real meat yang saya cobainrendang masih duduk di peringkat teratas soal rasa untuk 2 varian baru dari indomie realmeat telur balado dan empal goreng kayanya mesti ada riset lagi di bagian telur balado karna rasa balado nya di saya gak ada  (udah makan 2 kali) hanya pedas tipis dan terlalu berminyakdan telor nya juga keras (tapi masih bisa di makan lah ya)… Lihat selengkapnya
35,"The  best Noodles i ever tried,my favourites are beef and the spicy ones:)"
36,"Saya Kengen Banget Indomie Goreng Rasa Sate... Tolong Di PRODUKSI Kembali. Walaupun Sudah Banyak Varian Baru, Namun Selera Setiap Orang Tetaplah Berbeda... INDOMIE GORENG RASA SATE TETAPLAH NOMER 1 . #menurut_selera_saya"
37,Indomie Goreng Sambal Matah bikin saya ketagihan !!! Coba yg rasa sambal Rica-rica pedasnya ditambah ya..
38,Suka sama produk Indomie
39,Makasih indomie udah mengeluarkan rasa baru. Semoga nanti mengeluarkan rasa pedas yg berlevel ���
40,Rasanya enak dan variasinya banyak..
41,"indomie goreng selalu jadi favorit saya. yummy....makannya pake cabe rawit merah, nyaamm nyaammm"
42,INDOMIE RASA SEBLAK KAYAKNYA ENAK...! DI TUNGGU BANGET...
43,Dari awal keluar indomie goreng yg original tetap jd pilihan ku sampai skrang.... Tidak mau yg lain
44,Paling mantapnya.Paling uenak.Paling tenan.
45,"Indomie itu ibarat  UGD , saat terburu- buru mesti ngantor atw sekolah bisa siap dalam sekejap .Saat meringis di tanggal tua , selalu terjangkau isi kantong .Pokoknya Indomie selalu ada buat kita"
46,"Indomi best lah , 2 bungkus mie kuah goreng saat hujan itu bener bener best"
47,"Siapa sih yang nyiptain indomie? Ku mau mengucapkan trimakasih banyak buat yg ciptain indomie, karna enakkkkk banget ya allah ketagihan ketagihan ketagihan"
48,"Kalo bikin Indomie Goreng, satu tuh kurang, tapi dua kebanyakan.. Nah Indomie Goreng Jumbo solusi ditengah kelaperan banget! Porsinya pas, kenyangnya nggak berlebihan (y)(y)"
49,di sajian bareng bareng  kita semua
50,Indomie real meat ga enak.. enakan bakmi mewah kemana mana .. ga bingung sama bumbunya dan rasanya ga begitu strong.. klo indomie real meat rasa ayamnya berasa banget strongnya pengawet hemmm.. pertahanin indomie goreng dan vegan deh klo menurut aku
51,"Sayang kurang ditambah lg ragam rasanya, ayo atuh , ditunggu inovasi rasa kuliner nusantara, for next indomie rasa betutu, rasa soto betawi, rasa martabak telor, rasa coto makasar, rasa empal gentong, rasa gado gado, rasa asinan, rasa kerak telor, dll"
52,"Min, kok indomie cakalang di jawa tengah ngga ada ya? padahal suka banget. gimana cara dapetnya ya?"
53,Indomie mi instan bergizi lengkap dengan vitamin dan rasa yang pas.
54,Gak
55,"Sekali mencoba pengen,,, pengen,,, pengen  selamanya,,,, indomie enak di Lidah...."
56,Makan semua 3 ramen dan semuanya bukan Jepangramennya sangat hambarMakan ramen dan belajar di Jepang atau minta Jepang untuk menghasilkanTidak mungkin jika kamu tidak melakukannya.… Lihat selengkapnya
57,It would be the best if u bring back the indomie vegan....coz im a vegan 
58,"Indomie, Mienya enak2.. khususnya Baso Sapi.. tapi dimana bisa kutemukan dirimu wahai Baso Sapi... Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi Baso Sapi B… Lihat selengkapnya"
59,paling favorit indomie goreng iga penyet.. superrrr
60,Variatif banged item nya
61,Enakkkk bangett..pilihan rasa banyak. ketagihan deh.
62,"Mantaaap yeey , yang pasti indomie goreng enak rasanyaaaa"
63,Hanya indomie lah yg memiliki Rasa yg khas dan aroma yg lezat. Itu cukup menunjukan kalo indomie itu selera kita semuanya
64,indomie mienya lbh enak dan rasanya enak dan pas di lidah saya dan keluarga karena sudah favorit turun temurun apalagi rasa kari ayam nya tiada duanya sipppp
65,"Min gw mau curhat, malem2 gini laper alhasil ke minimarket deket kos beli Indomie goreng 1 bungkus, pas sampe kos gw buka bungkusnya pelan2 trus gw keluarin isinya, lahhh kayak disamber petir ternyata cuma ada mi sama bungkusan minyak kecap saos, bumbunya gak adaaaa dan gw cuma beli 1 ��� terpaksa gw makan keringan deh � tp gw tetep cinta Indomie, mungkin malem ini belum jodoh sama Indomie"
66,Rasa nya enak dan pas di lidah. Pokok ke mantap indomie.
67,"Indomie has an amazing taste, we can choose depending on our mood...i like it!!"
68,"aku suka dengan packaging indomie jadul, lebih terlihat unik aja sih. jadi perubahan rasa yang kian hari makin lezaatttt"
69,Rasa mie gorengnya luar biasa sedap..
70,"Real meat sangat di luar harapan, REAL TETELAN.. jauh dibanding bakmi M.."
71,"Indomie, seleraku (hehehe)"
72,rasa nya enak apa lg kalo hujan makan yg kuah enak bgt
73,Seleraku indomie cabe ijo. . . Top markotop. . .
74,rasanya jebret banget di lidah yummi my indomie
75,"Indomie selalu ada buatku, di saat susah dan senang tanpa memandang materi! #jadicurhat. Salah satu kebanggaan juga kalo denger orang luar negeri suka sama Indomie  karena orang Indonesia pun gak bisa lepas dari Indomie sepertinya hahaha pokoknya, Indomie Seleraku!"
76,A'uuzubillaahi walaa taqrabaa haazihi ssajarota wakuluu wasyrobuu walaa tusrifuu 
77,indomie selera turun temurun yg tak tergantikan.
78,"Enak bangeeeetttttttttttttttttt ngga ada duanya, anak kosan andalanya indomie di simpan berdus2 dan indomie makanan turun temurun dari kluarga , pokonya indomie selera keluargaku dengan berbagai macam rasa"
79,Indomie merupakan cerminan masakan nusantara. Sedap kali 
80,Indomie memang seleraku n kesukaanku
81,Mie Indomie itu emang paling enak dari bumbu sampe mie nya paling nendang....
82,Mie nya kenyal kuah nya segar dan banyak varian rasa nya trus porsi nya pas mie nya egak enek pokok nya vaforit banget deh setiap pagi sarapan indomie egak pernah bosen. Indomie seleraku
83,Mienya yang kenyal kenyal dan bumbu nya yg medhok sehingga menghasilkan rasa gurih yg berbeda...
84,Indomie sangat mantabb udah dari dulu bumbunya tidak berubah.mienya kenyal tu seleraku...
85,Indomie goreng sekarang rasanya seperti nyangkut ditenggorokan bumbunya.
86,"Sebenernya saya suka banget sama pop mie goreng rasa sosis bakar. Tapi sayang gak ada indomie goreng rasa sosis bakar, klo ada pasti laku keras tuh!"
87,Enakkk.. Rasanya bikin nagih..
88,Indomie ga ada yg lain..enak banget..aku paling suka Indomie Goreng sama Indomie Kari Ayam..Pokoknya Endeesss
89,"semua orang klo mau beli mie ya bilangnya Indomie,,,,, soalnya sudah kebiasaan n bumbunya paling mantaps.... Indomie goreng my favourite."
90,Enak...  Tapi adain lagi dong indomie pedas kriuknya ...  Enak...  Trus mie goreng rendangnya tambahin bawang goreng
91,"Enak bangetttt.... indomie soto, indomie goreng cabe ijo, indomie kari..Suka semua rasa.. pas banget dimakan kapan aja... nyammm nyammm "
92,Indomie itu mie kesukaan ku dengan varian yg beraneka rasa membuat indomie beda dari yang lain I love indomie
93,"Dari dulu sy suka... dri harganya yg masih Rp 125,-/bungkus hingga hargax Rp 2500,-/bungkus... memang enak rasax. Apa lg indomie goreng putih sm indomie kaldu"
94,Indomie rasanya gak ada yang ngalahin. Apalagi indomie goreng cakalang 
95,Tidak ada rasa  yang lebih enak dari kari ayam ....
96,"""Indomie pokoknya enak banget, beda dgn produk lain. Pokoknya pas bangetlah  rasanya..."""
97,Indomi seleraku
98,"Indomie sangat merakyat dan merupakan andalan masyarakat , begitu nikmat dan lezat...yummy"
99,Mie legendaris yang paling enak
100,kak utk indomie goreng cakalang bisa saya cari dmana? utk bekasi atau jakarta
101,Min...kemarin makan mie goreng enak bangetTop deh min
102,Indomie goreng itu lezat. Kalau rebusnya kurang enak. Lebih enak indomie goreng mantapp.
103,Indomie goreng n indomie rebus ayam special super sekali
104,Indomie nikmat
105,Min saya mau stok indomi semua rasa di toko sayaBisa gk minta contact yang bisa di hubungin buat pesen indominya
106,Mienya tu kenyaalll dan panjaangg.bumbunya the best deh pas gthuI like Indomie
107,Indomie seleraku....
108,Indomie dari dulu hingga sekarang makanan kesukaan ku
109,Indomie itu bagi saya blum ada yg nandingin rasanya dari dulu ampe sekarang tetep enak dan enak enak
110,makanan ringan paling enak
111,"Siang2 begini enaknya bikin Indomie Soto Spesial, topping nya telur + sawi + bakso + cabe rawit di ulek + kerupuk.."
112,Best of the best.Berbagai rasa ada.Mantap lah
113,best soups ever 
114,"Indomie...Selera kuuuuuu...Tak asing dengar moto ini kan guys..sejak saya kecil indomie menjadi makanan selingan yang sangat di suka..Mau mi goreng, indomie goreng klasik pasti yang dicari..Mau mi dengan kuah mantab yang menggugah selera, indomie kari ayam tentu jadi sajian..Dan, hei sekarang dengan varian baru mi goreng rasa dendeng balado dan soto lamongan, pasti juga jadi serbuan...dannnnn sekarang saatnya makan mie...dengan...#IndemoieSeleraku..."
115,"Mie instan terbaik yang pernah ada di muka bumi ini. thank you for existing! selau ada kapan pun dimana pun :"")"
116,Great instant noodle ever..!!!
117,Indomie selera ku...
118,"Indomie makanan simple, nikmat, lezat. Bukan orang indonesia kalau tidak pernah makan indomie  Dari harga 600rupiah sampe sekarang 2000rupiah inssaallah tidak pernah mengecewakan pecinta indomie hahaha"
119,"Enak, praktis dan bumbunya pas ga berlebihan spt mie yg lain."
120,Kangen banget sama indomie premium rasa mie goreng sechuan....
121,Luar biasa. Gurih gurih enyoooyy
122,Indomie itu bagian dari hidup..rasanya gak ada yang bisa nandingin..
123,"Indomie pa ja enak la...ha ha,pokoknya oke la"
124,Caranya mendapat branding dari indomie gimana yaa? Lokasi saya di jogja..thanks
125,The best instant noodle i ever taste
126,Saat tanggal tua menemani anak kos kos an 
127,"Makan indomie saya suka udah enak,bisa buat camilan lagi pokokya terbaik"
128,Mie instant paling enak yg paling saya sukai ^[]^
129,
130,"yummy dan sangat inovatif dalam membuat kreasi rasa yang baru. Sekarang lagi suka rasa Bulgogi Kalau boleh usul, dulu ada Indomie Mie siram,tolong dibuat lagi yaterimakasih"
131,Paling manteb indomie rasa rendang.Rasa rendang nya itu kerasa bgt.Puas deh...
132,Indomi itu rasa dan harum bumbu nya ngangenin.. klo udah kecium bumbuny pasti aku laper..dri kecil aku paling suka indomi goreng... 
133,"Menurut saya Indomie itu adalah mie instan yg paling enak, mieny kenyal, rasa bumbu yang pas banget, dan utk porsi cukup"
134,paling suka indomie goreng.. dari semua mie instan goreng yg gw coba cma indomie yg rasanya tetap enak dan uda bertahun-tahun setia dengan indomie goreng.. indomie rendang jg enak sayang indomie cabe hijau dan iga nya enak tapi kurang berasa 
