index,Review
1,enak dan bagus dan lejatx
2,varian rasanya serta kelembutan dari setiap gigitan
3,"Wafer yg renyah cream yg sangat terasa, wafer yg baik untuk dikomsusi karna mengandung banyak vitamin.."
4,enak dan harga terjangkau
5,"saya paling suka dong nabati, pada saat santai selesai belajar terus lanjut makan nabati waktu jam keluar main hhhmmmm kejunya gurih dan mantab...kami punya kesukaan masing - masing dalam satu keluarga loh."
6,wafer yg enak banget dan banyak varian rasanya...
7,renyah dan manisnya pas. disukai smua orang
8,"Kami sekeluarga suka banget nabati, rasa apa saja. Yg ptg sllu ada bt di makan waktu santai"
9,saya sangat suka dengan nabati apa lagi yang rasa coklat  dan pas ngemil sambil nonton tv.pokoknya nabati uwenak tnan
10,saya suka banget samanabati enak renyah pas dimulut
11,Boleh isiin Pulsa dong
12,nabati nya enak banget yang saya paling suka itu yang rasa coklat nabati ini makanan cemilan aku
13,อร่อยมาก รสชาติไม่หวาน ติดใจเลย
14,gaada duanya nyaman banar
15,enak dan kaya  rasa   besar  banyakisi
16,enak dan renyah kerater saya suka nabati
17,nabati itu sangat enak sekali... 
18,rasanya enak dan gurih serta terasa kejunya
19,wafernya enak dan baik dikonsumsi
20,rasanya renyah dan enak saya suka dengan rasa nabati ini terima kasih nabati sudah memberikan rasa nikmat
21,cemilan yang tdk pernah membosankan
22,wafernya renyah kejunya berasa
23,"Hi, jadikan selalu nabati wafer seagai camilan kamu dan keluarga ya "
24,keluarga ku sangat suka dengan wafer nabati yg rasa keju dan coklat karena rasanya enak dan harganya terjangkau
25,"paling murah, paling enak.. paling renyah.. paling puaaaas, paling melekat dihati, ya Nabatiiii.. "
26,"Hi, saat ini program Nabati Meriah sudah berakhir dari tanggal 31 mei 2019, untuk kode unik yang kamu sudah miliki kamu bisa simpan dan pindai/scan di periode kedua Nabati Meriah,Yuk simak terus social media Nabati Indonesia untuk berbagai aktivitas seru selanjutnya"
27,"anak saya sangat suka wafer nabati, yang lebih dia suka nabati white dan keju dan harganya terjangkau , Terima kasih nabati"
28,sangat terjangkau dan enak rasanya
29,rasanya enak gurih dan nikmat
30,keluarga saya suka makan nabati.soalnya enak dan aman dmkn oleh anak
31,nabati memamang enak karena aku suka rasa coklat dan coklatnya berlapes lapis dan wafernya juga dan nabati juga bisa buat ngemil dan bisa dibawa kemana mana memang nabati sangat praktis
32,Nabati wafer enak dgn berbagai variasi rasa yg sangat disukai keluarga
33,harga terjangkau rasa wow
34,rasa kejunya nikmat banget
35,renyah dan enak rasanya.. saya suka dan banyak pilihan rasa.
36,Nabati rasanya memang enakk
37,"Hi, jadikan selalu nabati wafer sebagai camilan kamu dan favorite kamu ya "
38,rasanya enak kejunya kerasa
39,nabati sangat enak dan rekomended buat semua orang
40,"Hi, saat ini program Nabati Meriah sudah berakhir dari tanggal 31 mei 2019, untuk kode unik yang kamu sudah miliki kamu bisa simpan dan pindai/scan di periode kedua Nabati Meriah,Yuk simak terus social media Nabati Indonesia untuk berbagai aktivitas seru selanjutnya"
41,enak lezat dan bergizi kami suka nabati
42,"Hi, saat ini program Nabati Meriah sudah berakhir dari tanggal 31 mei 2019, untuk kode unik yang kamu sudah miliki kamu bisa simpan dan pindai/scan di periode kedua Nabati Meriah,Yuk simak terus social media Nabati Indonesia untuk berbagai aktivitas seru selanjutnya"
43,istri saya sangat suka sekali dengan nabati harganya terjangkau
44,rasa yg enak gurih dan lezat tentunya bnyak mengandung vitamin
45,enak krim nya lembut dan nikmat
46,renyah coklatnya terasa banget banyak variannya
47,good taste good quality good pruduct.
48,Nabati renyah dan enak coklatnya dari  pada coklat yang lain
49,Enaknya nabati ini sangat renyah dan gurih
50,saya menyukai nabati karna enak renyah dan gurih kejunya kerasa
51,rasa enak harga murah cemilan mewah untuk santay dirumah
52,
53,"Semua produk nabati rasanya enak sekali, harganya sangat terjangkau dan bisa dibeli dimana saja"
54,"Hi, wow jadikan selalu Nabati Meriah sebagai camilan kamu dan keluarga ya "
55,nabati adalah makanan paling faforite keluarga  saya selain enak harganya pun terjangkau
56,rasanya mantap dan harga terjangkauanaku suka bangeeeet.sukses sllu nabatu
57,Rasanya enak dan gurih selain itu harganya juga terjangkau
58,Rasanya enak dan harganya cukup pas di kantong kalangan bawah seperti saya
59,good taste good quality good pruduct 
60,rasanya enak dan murah harganya
61,"rasanya enak,saya tepesona merasakan nabati rasa keju itu dan saya mendapatkan code nabati dari plastik pembungkus nabati rasa keju"
62,"harganya murah,rasanya renyah,kejunya gurih"
63,"nabati rasa nya enak sekali,disukai anak anak,,dan enak ditemani kopi"
64,rasanya sangat lezat keju dan coklatnya sangat manis saya sangat suka nabati.
65,Anak saya sangat menyukai rasa pink lava sedangkan aq suka rasa coklat setiap hari ngemilnya nabati rasa pink lava and coklat ��
66,"rasanya enak, variannya banyak. dan bisa dibeli di mana saja. apalagi dengan harga yg terjangkau."
67,Lezat dan renyah paling toop
68,wafer nabati murah tapi gak murahan.... rasa wafernya gurih dan rasa keju dan coklatnya benar2 kerasa...
69,nabati emang enak dan gurih sudah cocok kalau lagi santai sambil ngemil nabati dengan variansi rasa yang berbeda kalau saya suka rasa keju sama coklat
70,enakmurahrenyahasyik untuk teman ngobrol dan bermain
71,nabati memang enak semua keluarga    suka nabati.
72,"waferx sangat renyah,rasax gurih manis dan hargax pas dikantong."
73,sangat enak sekali dan bisa dibawah sekolah
74,Rasa nya sangat lezat selalu ingin lagi dan lagu
75,"wafernya mantul, dibanding wafer lainya, keluarga kecilku sangat syka wafer yg rasa keju, karna kita penggemar keju"
76,enak gurih dan renyah mantulllll
77,Nabati pilihan cemilan keluarga semua keluarga suka nabati karena enak dan banyak farian rasa nya
78,nabati nya sangat enak dan membuat anak anak saya memakannya dengan senang
79,Saya sangat menyukai nabati rasa keju
80,harga murah dan lezat digigit
81,saya sangat suka sekali nabati apa lagi rasa keju dan coklat pokok ny mantap deh nabati
82,"rasanya enak, dan termasuk coklat, keju dan pink lava"
83,rasanya enak beda dengan wafer yang lain keju dan coklatnya itu looohhh
84,Rasax enak bermacam2 rasa dan tidak membosankan.Tambah rasa yg lain klo bisa
85,rasanya enak dan harga pas di kantong
86,Nabati nya sangat enak dan juga renyah dimulut saya paling suka rasa coklat karena coklat nya lembut di makan
87,rasanya mantaappp... lebih kriuk dan berasa aromanya.... 
88,nabati memang enak apalagi rasa coklatnya meleleh di mulut..
89,"rasanya enk, kalau rasa keju kejunya terasa"
90,nabati ini sangat bagus di komsumsi anak anak dan orang dewasa 
