userId,username,date,content,tweetId,replyCount,retweetCount,likeCount,inReplyToUser,mentionedUsers,hashtags
8.51076E+17,mighulazman,2023-06-26 15:04:25+00:00,sesiapa pernah beli tiket flight dekat batik air boleh dm sat nak tanya something ni.,1.67335E+18,0,0,0,,,
1.12389E+18,ArmondDeBeste,2023-06-26 14:55:12+00:00,@dianiamalia_r Lah baru hari Kamis kemarin aku naik Batik Air CGK ke SIN tapi ga nemu kak Diani. Belum beruntung sepertinya haha bulan Agustus coba lagi deh.,1.67334E+18,0,0,0,dianiamalia_r,['dianiamalia_r'],
1.6466E+18,lillbearr_,2023-06-26 07:20:13+00:00,wts tiket batik air jambi-jkt hari ini jam 4 sore setengah harga karena salah hari,1.67323E+18,0,0,0,,,
3822079279,gpskukm,2023-06-26 04:59:49+00:00,"halo @LionAirID &amp; @BatikAirINA 
makasih atas smakin mningkatnya kesemrawutan pelayanannya. saya penumpang batik air ID 6884 tujuan JKT ke PDG tgl 26 Juni 2023 pkl 12.00 Wib, dgn seenak hati, saya yg sdh chekin online dipindah tnpa pemberitahuan &amp; sdh lpor kontek chekin. @YLKI_ID",1.67319E+18,0,0,0,,"['LionAirID', 'BatikAirINA', 'YLKI_ID']",
1.55837E+18,useless31511682,2023-06-26 01:53:36+00:00,@M_DanialFaris batik air ni ada flight ke Sarawak x,1.67315E+18,2,0,1,M_DanialFaris,['M_DanialFaris'],
1.36293E+18,kupukupuchinta,2023-06-25 23:49:17+00:00,"Still no prob. Tanah kita brapa kerat kecik je berbanding sumatera/pulau jawa/siam. Ade pilihan naik airasia, myairlines, mas, firefly, batik air.. paling marhean pun sani xpress 😂",1.67312E+18,0,0,0,,,
1.60069E+18,mediabantencom,2023-06-25 17:53:29+00:00,"AC Kurang Dingin dan Lampu Mati, Ini Permintaan Maaf Batik Air https://t.co/0IDk5fQ6fs",1.67303E+18,0,0,0,,,
1.29938E+18,Mrbeard81543982,2023-06-25 14:37:14+00:00,@M_DanialFaris Ooh...ingatkan batik air ke subang je...sbb last yr pakai batik air tu turun subang...,1.67298E+18,0,0,0,M_DanialFaris,['M_DanialFaris'],
563908865,LintangSulaiman,2023-06-25 13:47:20+00:00,"Pesawat terbang Pancoran, Batik Air https://t.co/sKXzb2X1Zh",1.67296E+18,0,0,0,,,
2967828680,azepms,2023-06-25 12:08:48+00:00,"Baru landing nunggu hujan reda, jejak batik air ID6876 dari flight radar24 https://t.co/hVtHNlqfaO",1.67294E+18,0,0,0,,,
4812701974,armingarea1836,2023-06-25 11:00:02+00:00,"25 June 2023 RJCC/CTS
Boeing 737-8 MAX 9M-LRV Batik Air Malaysia

#RJCC #新千歳空港 #Boeing #738MAX #BatikAir #AvGeeks https://t.co/ZyqG5Dj2xD",1.67292E+18,0,0,16,,,"['RJCC', '新千歳空港', 'Boeing', '738MAX', 'BatikAir', 'AvGeeks']"
1.60453E+18,zaky15596802,2023-06-25 10:41:00+00:00,Cirian BISI ka Bali ah  Kana batik air ☺️,1.67292E+18,0,0,0,,,
1.44881E+18,M_DanialFaris,2023-06-25 10:06:15+00:00,@iskandartjn Hehe dulu Malindo now Batik Air,1.67291E+18,1,1,1,izz_tjdin,,
538206280,moachacino,2023-06-25 09:14:08+00:00,"skrg malah dipindah maskapai ke batik air, dr awalnya pesen jam 6.45 tbtb dipindah jadi 9.30. yg bener-bener aja dikira orang gapunya jadwal kegiatan lain? atleast kasih alesan yg JELAS. mana cs-nya juga lateresp. kocak. @lionairgroup @SuperAirJet",1.6729E+18,0,0,0,moachacino,"['lionairgroup', 'SuperAirJet']",
3071342796,izz_tjdin,2023-06-25 07:20:15+00:00,@M_DanialFaris Batik Air ni airlines mana? Tak pernah dgr,1.67287E+18,1,0,1,M_DanialFaris,['M_DanialFaris'],
1.45394E+18,peddyeros,2023-06-25 06:27:13+00:00,Batik Air juga punya A320 dan B737. Keduanya juga intens digunakan.,1.67285E+18,0,0,0,,,
366325429,asshoraya,2023-06-25 06:11:34+00:00,"@borryshasian Kmrn malah naik batik air, ada penumpang udah mau sampe tapi masih diatas langit lho, ada yang udah hidupin paket data, tiba2 suara Shopee Tokopedia masuk. Ngeri amat, egois , tidak memperhatikan keselamatan orang lain.",1.67285E+18,0,0,1,borryshasian,['borryshasian'],
1.46235E+18,nightstar3100,2023-06-25 02:54:10+00:00,"Dr klia-cgk naik batik air malay yg Boeing jg, mungkin karna pesawatnya narrow body jd emang lebih kerasa guncangannya drpada yg pesawat gede. Next time moga ada rejeki buat ngerasain smua type jg maskapainya😇",1.6728E+18,0,0,0,nightstar3100,,
2476683500,stannymeilisa,2023-06-25 02:25:00+00:00,"Flight Makassar - Jakarta kemarin sore jam 18.10 nyamanya cuma 45 menit pertama. Setelahnya hampir 1 jam turbolenze, alhamdulillah mendarat dengan selamat di Halim Perdana Kusuma. Sejauh ini selain Garuda masih percaya sama Batik Air dan Citilink.",1.67279E+18,0,0,0,,,
1.44881E+18,M_DanialFaris,2023-06-25 01:51:52+00:00,First time try Batik Air. Try dekat dekat dulu 😂 https://t.co/pIxQlr5cmn,1.67278E+18,9,3,116,,,
8.16623E+17,swagmarkeu,2023-06-25 01:37:34+00:00,"@tiket halo min mau tanya, utk nomor passport bisa direvisi ga ya? soalnya paspor saya yg baru blm jadi. apa boleh diinput nomor passport lama dan kemudian direvisi ketika tiketnya sdh issued?

utk airline yg ingin sy pesan adalah batik air. terima kasih",1.67278E+18,2,0,0,,['tiket'],
9.48504E+17,sivideoaviation,2023-06-24 23:06:43+00:00,"Qantas Airways, Virgin Australia, Batik Air Malaysia &amp; Air Mauritius on ... https://t.co/frTXBVnHPB via @YouTube",1.67274E+18,0,0,0,,['YouTube'],
1.14788E+18,kaedethepeople2,2023-06-24 17:06:29+00:00,Batik Air dah boleh terbang sampai Korea pakai 737 Max 8 yang sempit tu.,1.67265E+18,0,0,0,,,
62455266,BNI,2023-06-24 17:02:54+00:00,"Hai Kak @marizalass, untuk Kartu Kredit BNI Batik Air akan mendapatkan free akses ke Batik Executive Lounge dan Executive Lounge yang telah bekerjasama dengan BNI dengan BNI Batik Air Master World ya. Informasi lengkapnya, dapat Kakak cek melalui link berikut: https://t.co/MgO6JChY7E ya. Tks -Falah-",1.67265E+18,0,0,0,marizalass,['marizalass'],
1540896164,marizalass,2023-06-24 16:10:40+00:00,"@BNI @BNICustomerCare mohon info, cc bni cobrand batik air platinum apakah mendapatkan fasilitas free airport lounge?",1.67264E+18,1,0,0,,"['BNI', 'BNICustomerCare']",
1.63061E+18,sabdagala,2023-06-24 12:43:41+00:00,"@mulamimpi ⠀ 

Keduanya, Mbak. Kadang-kadang pun bisa harus keluar kota untuk pekerjaan. Yang terpikir oleh saya cuma beberapa; Lion Air? Garuda Indonesia, Batik Air, atau Air Asia?

⠀",1.67259E+18,1,0,0,mulamimpi,['mulamimpi'],
52304312,Zir80s,2023-06-24 12:12:49+00:00,dahsyat Batik Air ni.. ke ICN dgn MLE  just guna 737 max,1.67258E+18,2,0,1,,,
1.24738E+18,dopablooo,2023-06-24 10:18:12+00:00,@hazelkedua batik air?,1.67255E+18,0,0,0,hazelkedua,['hazelkedua'],
1.56026E+18,VELLIONX,2023-06-24 08:50:54+00:00,📌 MASKAPAI BATIK AIR DISC 15-25%!! https://t.co/ZPBsYzvGUY,1.67253E+18,0,0,0,VELLIONX,,
1346837185,GreevilsGreed97,2023-06-24 08:10:37+00:00,"@Mihaarunews Batik Air ge direct flights. Kurinves dhathuru kuri,ekam eiy Colombo ga transit flight eh.",1.67252E+18,0,0,0,Mihaarunews,['Mihaarunews'],
886361815,eckoarcadia,2023-06-24 07:47:11+00:00,Yang mau dolan ke Singapore masih ada Batik air 300rb 🥳 https://t.co/hBjr79QQ0e,1.67251E+18,0,0,1,,,
704725700,beritartm,2023-06-24 06:05:25+00:00,"24 Jun-Batik Air berkata acara itu menandakan satu lagi peristiwa penting untuk operasi Batik Air ke destinasi baharu yang menarik di Asia Timur

https://t.co/WjuJDRHiSf

Malaysia MADANI : Tekad Perpaduan Penuhi Harapan

'Yang sahih di Berita RTM'
#RTM #BeritaRTM #MalaysiaMadani https://t.co/ABjHBi8rWS",1.67249E+18,0,0,1,,,"['RTM', 'BeritaRTM', 'MalaysiaMadani']"
1.0127E+18,zxliani,2023-06-24 05:26:23+00:00,"Batik Air, harga 600 kurang sekali jalan udah incl makan, ada jg yg ga, dan harganya yg gua tangkep tu beda2, kalo beda jam beda harga.",1.67248E+18,1,0,0,zxliani,,
187983066,ArvinGerrard,2023-06-24 02:38:11+00:00,"Batik Air Indonesia kau benar benar baj*ngan. Ticket ku suka” kau cancelled dan reschedule. Tiba waktu check in malah tak bisa, status penerbangan CANCELLED LAGI! Anj*ng Batik Air.",1.67243E+18,0,0,0,,,
869028504,mohdkhatim,2023-06-24 01:34:41+00:00,"Batik Air tawar harga tambang istimewa ke Incheon, Seoul
https://t.co/IyHBPTzZVC",1.67242E+18,0,0,0,,,
220906523,sunbrk,2023-06-23 19:20:27+00:00,"Malaysia’s Batik Air launches Malaysia-Maldives flights 
https://t.co/22uco11ICn",1.67232E+18,0,0,0,,,
421480909,umznada,2023-06-23 15:55:14+00:00,Batik Air dah ada flight ke Seoul. Murah pulak tu now. But WHY I HAVE NO MONEY SEBAB TAYLOR,1.67227E+18,0,0,0,,,
350082064,SangTimur2,2023-06-23 15:33:22+00:00,@sirsazly Batik Air?,1.67227E+18,1,0,1,sirsazly,['sirsazly'],
66691020,burningdyo,2023-06-23 15:31:44+00:00,Batik Air ok ke,1.67227E+18,0,0,0,,,
