userId,username,date,content,tweetId,replyCount,retweetCount,likeCount,inReplyToUser,mentionedUsers,hashtags
1913150222,RKevin_Ramdhani,2023-06-26 23:48:12+00:00,"Trip Jakarta - Kuala Lumpur bersama Citilink dengan Tarif dasar Rp. 11.000,- (exclude tax). ✨
Harganya jadi sekitar 500rb an lumayan murah dibanding dengan harga normal pas hari H Sekitar 2,6 jt an. https://t.co/Cgvn8ckuNE",1.67348E+18,0,0,1,,,
594526057,richartavicho,2023-06-26 22:10:23+00:00,@becak_e @Citilink ah gak juga,1.67345E+18,0,0,0,becak_e,"['becak_e', 'Citilink']",
1.33047E+18,fwhelve,2023-06-26 17:40:36+00:00,"@yourrrrmineeeee Citilink skrg lg 1,9 ke bali🙂 biasanya udh dpt pp. Dah lah Juli di suruh diem2 aja kayaknya kita di rumah🙂🙏🏻",1.67339E+18,1,0,0,yourrrrmineeeee,['yourrrrmineeeee'],
1.33047E+18,fwhelve,2023-06-26 17:36:45+00:00,"@yourrrrmineeeee IYAA! aku biasa 1jt udh dpt citilink jkt - dps, ini lion aja ga dpt 1jt ya Allah😭😭🙏🏻",1.67338E+18,1,0,0,yourrrrmineeeee,['yourrrrmineeeee'],
3435242294,ArwahMiliter,2023-06-26 16:29:53+00:00,"@Hilmi28 Jaman Bandara Husein masih ramai, rute Bandung-Jakarta naik ATR72 (Wings air dan Citilink) cuma 180 ribu sampai sana cuma 20 menit, ke Soetta 30 menit harga tiket 90 ribu dg pesawat kapasitas 148. coba dibuka rute Bandung-Jakarta via pesawat terbang, sepi dah Kereta Cepat",1.67337E+18,0,0,0,Hilmi28,['Hilmi28'],
3435242294,ArwahMiliter,2023-06-26 16:28:22+00:00,"Jaman Bandara Husein masih ramai, rute Bandung-Jakarta naik ATR72 (Wings air dan Citilink) cuma 180 ribu sampai sana cuma 20 menit, ke Soetta 30 menit harga tiket 90 ribu dg pesawat kapasitas 148. (733) Jaman pakai @susipudjiastuti dg Susi air 300 ribu
https://t.co/eevfABP43U",1.67337E+18,1,0,2,,['susipudjiastuti'],
1.66137E+18,kinetichk,2023-06-26 16:05:24+00:00,@sezvere @croco_olyle YH U PIKIR AJA LH MNA ADA NAMA ASEP CITILINK,1.67336E+18,0,0,0,sezvere,"['sezvere', 'croco_olyle']",
99259448,iwansunaryanto,2023-06-26 09:12:06+00:00,"Tingkatkan Konektivitas Antarwilayah, Citilink Buka 4 Rute dari Makassar https://t.co/KSG9V9YL7u",1.67326E+18,0,0,1,,,
1.34495E+18,aimlaiktiti,2023-06-26 08:52:47+00:00,"Citilink harganya cuma 1,4😳😳 GASSKEUNN PULANGGGG!!!!! https://t.co/o3WQezt9G8",1.67325E+18,1,0,2,,,
1.56826E+18,wonder__womannn,2023-06-26 08:51:41+00:00,Drama citilink berakhir,1.67325E+18,0,0,0,,,
