userId,username,date,content,tweetId,replyCount,retweetCount,likeCount,inReplyToUser,mentionedUsers,hashtags
308877642,bajangIdaman,2023-06-26 23:29:35+00:00,"@SuperAirJet min, ini IU717 mau berangkat jam berapa?, boarding 5.30 jadwal 6.00 dan sekarang sudah 7.29

Ada apa ini?",1.67347E+18,0,0,0,,['SuperAirJet'],
96125712,FazhriennyaNtan,2023-06-26 22:52:15+00:00,@SuperAirJet min cek dm,1.67346E+18,0,0,0,,['SuperAirJet'],
1.50978E+18,rex_aslan,2023-06-26 16:05:58+00:00,@SuperAirJet Mohon info. Saat akan online cek in nomor dan waktu flight saya tiba² berubah dan ini tanpa pemberitahuan sebelumnya. Sebelumnya IU732 menjadi IU752.,1.67336E+18,0,0,0,,['SuperAirJet'],
2987771007,muflfins,2023-06-26 15:29:24+00:00,hallo @lionairgroup saya mau tanya. tadi saya dapet email dan WA terkait flight cancellation. dari Lion Air ke Super Air Jet. Apa itu berarti terminal keberangkatannya juga berubah?,1.67335E+18,0,0,0,,['lionairgroup'],
635176507,raratitihhh,2023-06-26 12:26:44+00:00,"@indie_0 Ini pertama kali aku naik super air jet kak 😅
Klo liat di foto itu, kapasitas koper kabin 7kg, mending pake koper kecil kak. Tp klo untuk 20 inch, aku kurang yakin bisa masuk kabin.
Cuma aku pernah liat ada yg bawa koper mgkn seukuran itu dibawa masuk kabin, tp beda pesawat kak.",1.67331E+18,0,0,0,indie_0,['indie_0'],
35724622,weirdoningrum,2023-06-26 10:39:42+00:00,@SuperAirJet min tolong cek dm ya. Makasih.,1.67328E+18,0,0,0,,['SuperAirJet'],
149363540,calleugenia,2023-06-26 09:30:55+00:00,"@SuperAirJet halo, maaf saya melakukan kesalahan booking via agoda dengan kode booking 992378417
Saya sudah bikin ticket di helpdesknya, soalnya ga bisa cancel dari agoda :(",1.67326E+18,0,0,0,,['SuperAirJet'],
99259448,iwansunaryanto,2023-06-26 09:13:13+00:00,"Super Air Jet Buka Rute Baru Terbang Makassar ke Kendari dan Balikpapan, Sambut Libur Sekolah dan Idul Adha https://t.co/IbL3V16rE9",1.67326E+18,0,0,1,,,
67803685,EdiaPermata,2023-06-26 08:20:41+00:00,@yudidudidam @SuperAirJet ini maksudnya delay 3 jam?,1.67324E+18,0,0,0,yudidudidam,"['yudidudidam', 'SuperAirJet']",
103169797,thooney07,2023-06-26 04:57:48+00:00,"Pesawat anda @SuperAirJet IU768 rute cgk lop pk 16.45 tgl 25 juni  yg mengalami delay dengan rincian 90 menit delay krn alasan operasioanl dan 30 menit krn alasan cuaca, yg 90 menit delay ptugas darat anda tidak memberikan kompensasi apa2 selain bullshitt",1.67319E+18,0,0,0,,['SuperAirJet'],
